"",BBK01.OEXL05V,BBK01.OEXL05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:18,
2002-01,0.102,
2002-04,0.109,
2002-07,0.108,
2002-10,0.106,
2003-01,0.106,
2003-04,0.105,
2003-07,0.102,
2003-10,0.087,
2004-01,0.081,
2004-04,0.045,
2004-07,0.044,
2004-10,0.012,
2005-01,0.012,
2005-04,0.014,
2005-07,0.014,
2005-10,0.016,
2006-01,0.016,
2006-04,0.018,
2006-07,0.019,
2006-10,0.045,
2007-01,0.044,
2007-04,0.045,
2007-07,0.045,
2007-10,0.043,
2008-01,0.040,
2008-04,0.036,
2008-07,0.034,
2008-10,0.034,
2009-01,0.038,
2009-04,0.052,
2009-07,0.055,
2009-10,0.059,
2010-01,0.064,
2010-04,0.067,
2010-07,0.069,
2010-10,0.071,
2011-01,0.085,
2011-04,0.091,
2011-07,0.092,
2011-10,0.095,
2012-01,0.098,
2012-04,0.089,
2012-07,0.080,
2012-10,0.085,
2013-01,0.096,
2013-04,0.098,
2013-07,0.105,
2013-10,0.113,
2014-01,0.111,
2014-04,0.118,
2014-07,0.117,
