"",BBK01.OELI04P,BBK01.OELI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:47,
2002-01,0.941,
2002-04,0.907,
2002-07,0.857,
2002-10,0.918,
2003-01,0.876,
2003-04,0.787,
2003-07,0.804,
2003-10,0.873,
2004-01,0.812,
2004-04,0.771,
2004-07,0.770,
2004-10,0.769,
2005-01,0.762,
2005-04,0.759,
2005-07,0.767,
2005-10,0.864,
2006-01,0.794,
2006-04,0.820,
2006-07,0.791,
2006-10,0.950,
2007-01,0.916,
2007-04,0.985,
2007-07,1.035,
2007-10,1.174,
2008-01,1.170,
2008-04,1.206,
2008-07,1.382,
2008-10,1.620,
2009-01,1.381,
2009-04,1.196,
2009-07,1.046,
2009-10,1.049,
2010-01,0.880,
2010-04,0.800,
2010-07,0.760,
2010-10,0.935,
2011-01,0.858,
2011-04,0.867,
2011-07,0.832,
2011-10,0.952,
2012-01,0.786,
2012-04,0.747,
2012-07,0.687,
2012-10,0.685,
2013-01,0.611,
2013-04,0.561,
2013-07,0.545,
2013-10,0.651,
2014-01,0.530,
2014-04,0.505,
2014-07,0.482,
