"",BBK01.OEAC09T,BBK01.OEAC09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:31,
2002-01,5.580,
2002-04,5.576,
2002-07,5.645,
2002-10,5.669,
2003-01,6.246,
2003-04,6.256,
2003-07,6.306,
2003-10,6.349,
2004-01,6.399,
2004-04,6.426,
2004-07,6.372,
2004-10,6.419,
2005-01,6.369,
2005-04,6.329,
2005-07,6.352,
2005-10,6.348,
2006-01,6.268,
2006-04,6.263,
2006-07,6.295,
2006-10,6.428,
2007-01,6.401,
2007-04,6.421,
2007-07,6.544,
2007-10,6.550,
2008-01,6.624,
2008-04,6.728,
2008-07,6.793,
2008-10,7.011,
2009-01,6.924,
2009-04,7.195,
2009-07,7.264,
2009-10,7.339,
2010-01,7.401,
2010-04,7.440,
2010-07,7.579,
2010-10,7.568,
2011-01,7.669,
2011-04,7.793,
2011-07,7.877,
2011-10,7.979,
2012-01,8.150,
2012-04,8.323,
2012-07,8.488,
2012-10,8.640,
2013-01,8.727,
2013-04,9.075,
2013-07,8.994,
2013-10,9.090,
2014-01,9.214,
2014-04,9.340,
2014-07,9.384,
