"",BBK01.OEAE26K,BBK01.OEAE26K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:59,
2002-01,0.667,
2002-04,0.655,
2002-07,0.656,
2002-10,0.598,
2003-01,0.484,
2003-04,0.486,
2003-07,0.438,
2003-10,0.405,
2004-01,0.367,
2004-04,0.215,
2004-07,0.594,
2004-10,0.620,
2005-01,0.822,
2005-04,0.772,
2005-07,0.813,
2005-10,0.831,
2006-01,0.801,
2006-04,0.811,
2006-07,0.748,
2006-10,0.728,
2007-01,0.587,
2007-04,0.545,
2007-07,0.533,
2007-10,0.547,
2008-01,0.736,
2008-04,0.682,
2008-07,0.678,
2008-10,0.640,
2009-01,0.592,
2009-04,0.876,
2009-07,0.588,
2009-10,0.842,
2010-01,0.486,
2010-04,0.463,
2010-07,0.300,
2010-10,0.322,
2011-01,0.292,
2011-04,0.287,
2011-07,0.297,
2011-10,0.279,
2012-01,0.287,
2012-04,0.272,
2012-07,0.271,
2012-10,0.268,
2013-01,0.267,
2013-04,0.261,
2013-07,0.261,
2013-10,0.194,
2014-01,0.183,
2014-04,0.061,
2014-07,0.064,
