"",BBEX3.A.AWG.USD.CA.AB.A04,BBEX3.A.AWG.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Aruba / USD 1 = AWG ... (selling),
unit,AWG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:47,
1988,1.80,
1989,1.80,
1990,1.80,
1991,1.80,
1992,1.80,
1993,1.80,
1994,1.80,
1995,1.80,
1996,1.80,
1997,1.80,
1998,1.80,
1999,1.80,
2000,1.80,
2001,1.80,
2002,1.80,
2003,1.80,
2004,1.80,
2005,1.80,
2006,1.80,
2007,1.80,
2008,1.80,
2009,1.80,
2010,1.80,
2011,1.80,
2012,1.80,
2013,1.80,
2014,1.80,
"",General: The Aruban florin is pegged to the US dollar.,
"","Source: Centrale Bank van Aruba, Oranjestad.",
