"",BBK01.OEAD20O,BBK01.OEAD20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:47,
2002-01,0.307,
2002-04,0.244,
2002-07,0.262,
2002-10,0.251,
2003-01,0.224,
2003-04,0.225,
2003-07,0.227,
2003-10,0.240,
2004-01,0.240,
2004-04,0.247,
2004-07,0.251,
2004-10,0.219,
2005-01,0.209,
2005-04,0.191,
2005-07,0.179,
2005-10,0.183,
2006-01,0.212,
2006-04,0.209,
2006-07,0.208,
2006-10,0.233,
2007-01,0.204,
2007-04,0.208,
2007-07,0.224,
2007-10,0.298,
2008-01,0.241,
2008-04,0.266,
2008-07,0.214,
2008-10,0.248,
2009-01,0.214,
2009-04,0.231,
2009-07,0.224,
2009-10,0.206,
2010-01,0.174,
2010-04,0.215,
2010-07,0.240,
2010-10,0.259,
2011-01,0.244,
2011-04,0.269,
2011-07,0.266,
2011-10,0.273,
2012-01,0.261,
2012-04,0.279,
2012-07,0.274,
2012-10,0.292,
2013-01,0.281,
2013-04,0.259,
2013-07,0.255,
2013-10,0.292,
2014-01,0.257,
2014-04,0.250,
2014-07,0.270,
