"",BBDE1.M.DE.Y.GUA1.P2XF10020.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF10020.BA.V.ABA.A_FLAGS
"","Turnover / At current prices, flows / Germany / Commercial construction - turnover from construction work / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 09:28:36,
1991-01,2.69,
1991-02,2.57,
1991-03,2.61,
1991-04,2.73,
1991-05,2.80,
1991-06,2.82,
1991-07,2.93,
1991-08,2.83,
1991-09,2.89,
1991-10,2.91,
1991-11,3.00,
1991-12,2.83,
1992-01,3.07,
1992-02,3.29,
1992-03,3.31,
1992-04,3.30,
1992-05,3.34,
1992-06,3.31,
1992-07,3.35,
1992-08,3.49,
1992-09,3.40,
1992-10,3.38,
1992-11,3.33,
1992-12,3.84,
1993-01,3.39,
1993-02,3.21,
1993-03,3.49,
1993-04,3.58,
1993-05,3.43,
1993-06,3.49,
1993-07,3.52,
1993-08,3.47,
1993-09,3.46,
1993-10,3.53,
1993-11,3.45,
1993-12,3.60,
1994-01,3.55,
1994-02,3.57,
1994-03,3.53,
1994-04,3.63,
1994-05,3.60,
1994-06,3.66,
1994-07,3.58,
1994-08,3.63,
1994-09,3.62,
1994-10,3.70,
1994-11,3.81,
1994-12,3.91,
1995-01,3.76,
1995-02,3.76,
1995-03,3.87,
1995-04,3.65,
1995-05,3.62,
1995-06,3.65,
1995-07,3.61,
1995-08,3.64,
1995-09,3.66,
1995-10,3.58,
1995-11,3.64,
1995-12,3.62,
1996-01,3.04,
1996-02,2.96,
1996-03,2.98,
1996-04,3.22,
1996-05,3.32,
1996-06,3.49,
1996-07,3.35,
1996-08,3.51,
1996-09,3.43,
1996-10,3.38,
1996-11,3.47,
1996-12,3.41,
1997-01,2.91,
1997-02,3.26,
1997-03,3.32,
1997-04,3.23,
1997-05,3.21,
1997-06,3.19,
1997-07,3.15,
1997-08,3.10,
1997-09,3.13,
1997-10,3.18,
1997-11,3.08,
1997-12,3.05,
1998-01,3.12,
1998-02,3.11,
1998-03,3.40,
1998-04,2.91,
1998-05,2.89,
1998-06,2.90,
1998-07,2.99,
1998-08,2.96,
1998-09,2.93,
1998-10,2.90,
1998-11,2.93,
1998-12,2.78,
1999-01,3.07,
1999-02,2.94,
1999-03,2.91,
1999-04,3.04,
1999-05,3.06,
1999-06,3.04,
1999-07,3.11,
1999-08,3.03,
1999-09,3.06,
1999-10,3.09,
1999-11,2.98,
1999-12,2.97,
2000-01,3.03,
2000-02,3.21,
2000-03,3.09,
2000-04,2.99,
2000-05,3.04,
2000-06,2.89,
2000-07,2.85,
2000-08,2.82,
2000-09,2.88,
2000-10,2.87,
2000-11,2.84,
2000-12,2.91,
2001-01,3.00,
2001-02,3.08,
2001-03,3.00,
2001-04,2.83,
2001-05,2.86,
2001-06,2.91,
2001-07,2.83,
2001-08,2.90,
2001-09,2.81,
2001-10,2.72,
2001-11,2.82,
2001-12,2.95,
2002-01,2.91,
2002-02,2.92,
2002-03,2.75,
2002-04,2.77,
2002-05,2.73,
2002-06,2.70,
2002-07,2.67,
2002-08,2.62,
2002-09,2.63,
2002-10,2.59,
2002-11,2.62,
2002-12,2.48,
2003-01,2.37,
2003-02,2.48,
2003-03,2.58,
2003-04,2.69,
2003-05,2.62,
2003-06,2.55,
2003-07,2.56,
2003-08,2.51,
2003-09,2.45,
2003-10,2.40,
2003-11,2.49,
2003-12,2.43,
2004-01,2.54,
2004-02,2.47,
2004-03,2.43,
2004-04,2.38,
2004-05,2.31,
2004-06,2.33,
2004-07,2.27,
2004-08,2.33,
2004-09,2.28,
2004-10,2.31,
2004-11,2.30,
2004-12,2.26,
2005-01,2.28,
2005-02,2.11,
2005-03,1.95,
2005-04,2.19,
2005-05,2.27,
2005-06,2.28,
2005-07,2.33,
2005-08,2.20,
2005-09,2.25,
2005-10,2.22,
2005-11,2.29,
2005-12,2.29,
2006-01,2.15,
2006-02,2.20,
2006-03,2.14,
2006-04,2.31,
2006-05,2.49,
2006-06,2.47,
2006-07,2.51,
2006-08,2.55,
2006-09,2.63,
2006-10,2.52,
2006-11,2.70,
2006-12,2.83,
2007-01,2.62,
2007-02,2.69,
2007-03,2.54,
2007-04,2.44,
2007-05,2.51,
2007-06,2.53,
2007-07,2.62,
2007-08,2.60,
2007-09,2.65,
2007-10,2.53,
2007-11,2.48,
2007-12,2.47,
2008-01,2.88,
2008-02,3.10,
2008-03,2.87,
2008-04,2.74,
2008-05,2.81,
2008-06,2.77,
2008-07,2.84,
2008-08,2.88,
2008-09,2.80,
2008-10,2.82,
2008-11,2.73,
2008-12,2.73,
2009-01,2.57,
2009-02,2.68,
2009-03,2.75,
2009-04,2.72,
2009-05,2.61,
2009-06,2.64,
2009-07,2.50,
2009-08,2.51,
2009-09,2.53,
2009-10,2.54,
2009-11,2.46,
2009-12,2.44,
2010-01,2.03,
2010-02,1.90,
2010-03,2.23,
2010-04,2.49,
2010-05,2.54,
2010-06,2.60,
2010-07,2.54,
2010-08,2.55,
2010-09,2.59,
2010-10,2.60,
2010-11,2.59,
2010-12,2.34,
2011-01,2.46,
2011-02,2.70,
2011-03,2.76,
2011-04,2.81,
2011-05,2.91,
2011-06,2.76,
2011-07,2.78,
2011-08,2.80,
2011-09,2.80,
2011-10,2.87,
2011-11,2.88,
2011-12,2.89,
2012-01,2.92,
2012-02,2.41,
2012-03,2.95,
2012-04,2.87,
2012-05,2.93,
2012-06,2.87,
2012-07,2.91,
2012-08,2.83,
2012-09,2.92,
2012-10,2.79,
2012-11,2.83,
2012-12,2.79,
2013-01,2.63,
2013-02,2.69,
2013-03,2.57,
2013-04,2.79,
2013-05,2.87,
2013-06,2.90,
2013-07,2.97,
2013-08,2.94,
2013-09,2.96,
2013-10,2.93,
2013-11,3.01,
2013-12,2.99,
2014-01,3.09,
2014-02,3.08,
2014-03,3.13,
2014-04,3.05,
2014-05,2.95,
2014-06,2.97,
2014-07,2.92,
2014-08,2.99,
2014-09,2.94,
2014-10,2.94,
2014-11,2.99,
2014-12,2.92,
