"",BBK01.CELO0M,BBK01.CELO0M_FLAGS
"",Other deposits debtor: Total            creditor: Non-Profit Institutions Serving Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:00,
1999-01,-0.1,
1999-04,-0.3,
1999-07,-0.9,
1999-10,0.5,
2000-01,0.2,
2000-04,0.4,
2000-07,0.9,
2000-10,0.3,
2001-01,0.3,
2001-04,-0.8,
2001-07,0.0,
2001-10,1.9,
2002-01,-0.7,
2002-04,-0.4,
2002-07,-1.1,
2002-10,0.8,
2003-01,0.5,
2003-04,-0.3,
2003-07,-0.7,
2003-10,-0.6,
2004-01,-0.6,
2004-04,-0.2,
2004-07,-0.6,
2004-10,1.3,
2005-01,-1.1,
2005-04,-0.1,
2005-07,0.7,
2005-10,-0.3,
2006-01,0.0,
2006-04,-0.5,
2006-07,0.9,
2006-10,0.9,
2007-01,0.4,
2007-04,1.0,
2007-07,1.5,
2007-10,1.5,
2008-01,1.3,
2008-04,1.9,
2008-07,1.0,
2008-10,-0.3,
2009-01,-2.4,
2009-04,-0.4,
2009-07,-0.7,
2009-10,-1.5,
2010-01,-0.4,
2010-04,0.6,
2010-07,0.5,
2010-10,0.6,
2011-01,-0.5,
2011-04,0.2,
2011-07,2.7,
2011-10,-2.1,
2012-01,0.6,
2012-04,-0.4,
2012-07,-0.1,
2012-10,-0.7,
2013-01,-0.3,
2013-04,-0.8,
2013-07,-0.6,
2013-10,0.0,
2014-01,-0.4,
2014-04,0.6,
2014-07,-0.3,
