"",BBK01.OXA8M4,BBK01.OXA8M4_FLAGS
"","Stocks of loans to domestic self-employed persons (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:43,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,0.575,
2010-07,0.538,
2010-08,0.506,
2010-09,0.472,
2010-10,0.439,
2010-11,0.402,
2010-12,0.363,
2011-01,0.337,
2011-02,0.451,
2011-03,0.422,
2011-04,0.397,
2011-05,0.368,
2011-06,0.469,
2011-07,0.642,
2011-08,0.619,
2011-09,0.581,
2011-10,0.564,
2011-11,0.545,
2011-12,0.525,
2012-01,0.501,
2012-02,0.489,
2012-03,0.460,
2012-04,0.447,
2012-05,0.435,
2012-06,0.410,
2012-07,0.398,
2012-08,0.389,
2012-09,0.380,
2012-10,0.368,
2012-11,0.355,
2012-12,0.356,
2013-01,0.326,
2013-02,0.511,
2013-03,0.490,
2013-04,0.467,
2013-05,0.446,
2013-06,0.427,
2013-07,0.554,
2013-08,0.531,
2013-09,0.506,
2013-10,0.484,
2013-11,0.466,
2013-12,0.448,
2014-01,0.429,
2014-02,0.412,
2014-03,0.393,
2014-04,0.376,
2014-05,0.609,
2014-06,0.575,
2014-07,0.549,
2014-08,0.538,
2014-09,0.518,
2014-10,0.490,
2014-11,0.620,
2014-12,0.602,Provisional value
