"",BBK01.OEHO02T,BBK01.OEHO02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:49,
2002-01,0.732,
2002-04,0.618,
2002-07,0.627,
2002-10,0.737,
2003-01,0.818,
2003-04,0.647,
2003-07,0.634,
2003-10,0.814,
2004-01,0.644,
2004-04,0.566,
2004-07,0.577,
2004-10,0.612,
2005-01,0.612,
2005-04,0.484,
2005-07,0.460,
2005-10,0.558,
2006-01,0.637,
2006-04,0.497,
2006-07,0.480,
2006-10,0.641,
2007-01,0.675,
2007-04,0.492,
2007-07,0.484,
2007-10,0.620,
2008-01,0.681,
2008-04,0.495,
2008-07,0.505,
2008-10,0.804,
2009-01,0.710,
2009-04,0.582,
2009-07,0.593,
2009-10,0.695,
2010-01,0.539,
2010-04,0.438,
2010-07,0.432,
2010-10,0.535,
2011-01,0.527,
2011-04,0.462,
2011-07,0.437,
2011-10,0.513,
2012-01,0.521,
2012-04,0.428,
2012-07,0.462,
2012-10,0.577,
2013-01,0.546,
2013-04,0.374,
2013-07,0.396,
2013-10,0.414,
2014-01,0.436,
2014-04,0.376,
2014-07,0.362,
