"",BBSF2.M.1.T.00000.REN01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Bonds funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:28,
2009-09,8062,
2009-10,7844,
2009-11,7964,
2009-12,8447,
2010-01,8266,
2010-02,7998,
2010-03,8567,
2010-04,8505,
2010-05,8031,
2010-06,7898,
2010-07,8181,
2010-08,8022,
2010-09,8424,
2010-10,8720,
2010-11,8683,
2010-12,9116,
2011-01,9105,
2011-02,9206,
2011-03,8908,
2011-04,9153,
2011-05,8986,
2011-06,9006,
2011-07,8647,
2011-08,7627,
2011-09,7082,
2011-10,7575,
2011-11,7966,
2011-12,8189,
2012-01,8452,
2012-02,8771,
2012-03,8777,
2012-04,8571,
2012-05,8144,
2012-06,8345,
2012-07,8980,
2012-08,9063,
2012-09,9127,
2012-10,9124,
2012-11,9310,
2012-12,9550,
2013-01,9881,
2013-02,10000,
2013-03,10279,
2013-04,10740,
2013-05,11037,
2013-06,10486,
2013-07,11070,
2013-08,11015,
2013-09,11719,
2013-10,12542,
2013-11,12850,
2013-12,15147,
2014-01,14813,
2014-02,15328,
2014-03,15552,
2014-04,15051,
2014-05,15113,
2014-06,15273,
2014-07,14338,
2014-08,15305,
2014-09,15384,
2014-10,16065,
2014-11,14360,
