"",BBK01.CEBF20,BBK01.CEBF20_FLAGS
"",longer-term loans debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:42,
1991-01,15.2,
1991-04,15.8,
1991-07,15.9,
1991-10,18.1,
1992-01,18.2,
1992-04,18.8,
1992-07,19.3,
1992-10,21.0,
1993-01,21.1,
1993-04,22.1,
1993-07,22.0,
1993-10,23.6,
1994-01,30.4,
1994-04,30.4,
1994-07,31.2,
1994-10,33.8,
1995-01,29.3,
1995-04,30.5,
1995-07,32.2,
1995-10,34.7,
1996-01,35.3,
1996-04,36.1,
1996-07,37.7,
1996-10,39.5,
1997-01,40.0,
1997-04,41.1,
1997-07,43.5,
1997-10,50.7,
1998-01,53.3,
1998-04,60.0,
1998-07,59.5,
1998-10,65.3,
1999-01,81.0,
1999-04,84.4,
1999-07,77.6,
1999-10,80.2,
2000-01,95.9,
2000-04,100.3,
2000-07,104.3,
2000-10,159.6,
2001-01,167.6,
2001-04,171.7,
2001-07,187.3,
2001-10,199.9,
2002-01,202.5,
2002-04,225.0,
2002-07,229.4,
2002-10,247.7,
2003-01,242.4,
2003-04,250.0,
2003-07,257.2,
2003-10,246.1,
2004-01,223.1,
2004-04,230.0,
2004-07,232.8,
2004-10,219.8,
2005-01,225.2,
2005-04,228.0,
2005-07,230.5,
2005-10,235.0,
2006-01,247.1,
2006-04,256.3,
2006-07,263.7,
2006-10,269.3,
2007-01,268.7,
2007-04,270.5,
2007-07,281.0,
2007-10,271.3,
2008-01,285.0,
2008-04,288.1,
2008-07,294.6,
2008-10,309.3,
2009-01,314.1,
2009-04,323.0,
2009-07,333.1,
2009-10,340.4,
2010-01,354.2,
2010-04,367.1,
2010-07,370.9,
2010-10,375.7,
2011-01,374.8,
2011-04,370.5,
2011-07,376.4,
2011-10,377.4,
2012-01,383.3,
2012-04,389.0,
2012-07,387.5,
2012-10,380.6,
2013-01,381.3,
2013-04,381.3,
2013-07,375.5,
2013-10,360.1,
2014-01,361.5,
