"",BBK01.OECB01K,BBK01.OECB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:17,
2002-01,12.857,
2002-04,12.511,
2002-07,12.149,
2002-10,11.558,
2003-01,11.011,
2003-04,11.125,
2003-07,11.122,
2003-10,10.781,
2004-01,11.715,
2004-04,11.128,
2004-07,11.459,
2004-10,20.614,
2005-01,16.780,
2005-04,17.019,
2005-07,17.038,
2005-10,18.473,
2006-01,16.802,
2006-04,16.877,
2006-07,17.858,
2006-10,17.805,
2007-01,17.131,
2007-04,17.423,
2007-07,19.061,
2007-10,19.209,
2008-01,20.359,
2008-04,21.776,
2008-07,22.692,
2008-10,22.252,
2009-01,21.841,
2009-04,25.010,
2009-07,24.569,
2009-10,24.958,
2010-01,25.606,
2010-04,26.694,
2010-07,25.068,
2010-10,25.160,
2011-01,24.823,
2011-04,25.366,
2011-07,26.985,
2011-10,27.721,
2012-01,27.557,
2012-04,33.607,
2012-07,33.307,
2012-10,38.693,
2013-01,38.699,
2013-04,37.606,
2013-07,36.628,
2013-10,35.567,
2014-01,35.354,
2014-04,35.548,
2014-07,35.570,
