"",BBK01.CEB2N0,BBK01.CEB2N0_FLAGS
"",Currency and deposits debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:53,
1991-01,282.7,
1991-04,271.5,
1991-07,263.6,
1991-10,274.7,
1992-01,278.3,
1992-04,266.6,
1992-07,286.9,
1992-10,285.5,
1993-01,305.9,
1993-04,330.4,
1993-07,338.2,
1993-10,376.2,
1994-01,354.5,
1994-04,338.1,
1994-07,333.9,
1994-10,352.6,
1995-01,346.6,
1995-04,366.8,
1995-07,380.5,
1995-10,370.1,
1996-01,380.2,
1996-04,381.6,
1996-07,375.5,
1996-10,390.3,
1997-01,412.5,
1997-04,421.7,
1997-07,413.6,
1997-10,430.6,
1998-01,455.8,
1998-04,467.0,
1998-07,463.9,
1998-10,458.8,
1999-01,488.7,
1999-04,480.9,
1999-07,484.7,
1999-10,463.9,
2000-01,499.5,
2000-04,497.9,
2000-07,534.2,
2000-10,527.9,
2001-01,566.2,
2001-04,571.1,
2001-07,596.6,
2001-10,611.8,
2002-01,613.7,
2002-04,641.0,
2002-07,698.6,
2002-10,710.3,
2003-01,774.1,
2003-04,836.6,
2003-07,815.2,
2003-10,796.2,
2004-01,839.6,
2004-04,858.1,
2004-07,873.2,
2004-10,893.9,
2005-01,976.7,
2005-04,1023.6,
2005-07,1051.5,
2005-10,1011.3,
2006-01,1115.1,
2006-04,1154.0,
2006-07,1154.2,
2006-10,1179.3,
2007-01,1215.0,
2007-04,1299.1,
2007-07,1325.5,
2007-10,1324.6,
2008-01,1363.4,
2008-04,1351.9,
2008-07,1417.7,
2008-10,1373.1,
2009-01,1328.4,
2009-04,1322.8,
2009-07,1256.2,
2009-10,1284.9,
2010-01,1288.2,
2010-04,1346.6,
2010-07,1314.8,
2010-10,1263.7,
2011-01,1224.5,
2011-04,1243.3,
2011-07,1335.6,
2011-10,1278.7,
2012-01,1301.5,
2012-04,1315.3,
2012-07,1338.1,
2012-10,1271.3,
2013-01,1285.2,
2013-04,1286.5,
2013-07,1241.9,
2013-10,1238.3,
2014-01,1304.2,
