"",BBK01.PQP357,BBK01.PQP357_FLAGS
"",Lending to domestic enterprises / Long-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:50,
1985-10,1.544,
1986-01,1.614,
1986-04,1.656,
1986-07,1.687,
1986-10,1.805,
1987-01,1.981,
1987-04,2.227,
1987-07,2.404,
1987-10,2.465,
1988-01,2.517,
1988-04,2.655,
1988-07,2.783,
1988-10,2.922,
1989-01,2.919,
1989-04,2.910,
1989-07,2.953,
1989-10,3.046,
1990-01,2.961,
1990-04,3.074,
1990-07,3.125,
1990-10,2.987,
1991-01,3.082,
1991-04,3.267,
1991-07,3.209,
1991-10,3.291,
1992-01,3.304,
1992-04,3.334,
1992-07,3.443,
1992-10,5.239,
1993-01,5.036,
1993-04,5.033,
1993-07,5.197,
1993-10,5.498,
1994-01,5.424,
1994-04,5.488,
1994-07,6.613,
1994-10,6.661,
1995-01,6.472,
1995-04,6.471,
1995-07,6.484,
1995-10,6.556,
1996-01,6.786,
1996-04,6.988,
1996-07,6.888,
1996-10,7.332,
1997-01,7.142,
1997-04,7.339,
1997-07,7.035,
1997-10,7.349,
1998-01,7.398,
1998-04,7.268,
1998-07,7.399,
1998-10,7.663,
1999-01,5.480,
1999-04,5.439,
1999-07,5.769,
1999-10,5.849,
2000-01,6.334,
2000-04,6.163,
2000-07,6.158,
2000-10,6.419,
2001-01,7.153,
2001-04,7.189,
2001-07,7.330,
2001-10,7.632,
2002-01,8.236,
2002-04,11.708,
2002-07,12.196,
2002-10,11.951,
2003-01,12.010,
2003-04,12.181,
2003-07,12.778,
2003-10,13.210,
2004-01,13.185,
2004-04,13.445,
2004-07,13.337,
2004-10,13.507,
2005-01,13.683,
2005-04,13.712,
2005-07,14.490,
2005-10,41.613,
2006-01,42.092,
2006-04,42.198,
2006-07,41.700,
2006-10,41.782,
2007-01,41.644,
2007-04,41.264,
2007-07,43.669,
2007-10,45.567,
2008-01,45.678,
2008-04,46.395,
2008-07,46.869,
2008-10,46.680,
2009-01,46.299,
2009-04,43.322,
2009-07,43.466,
2009-10,43.540,
2010-01,42.388,
2010-04,42.606,
2010-07,44.111,
2010-10,43.737,
2011-01,43.240,
2011-04,42.545,
2011-07,42.379,
2011-10,42.707,
2012-01,42.664,
2012-04,42.697,
2012-07,41.991,
2012-10,37.133,
2013-01,37.194,
2013-04,33.341,
2013-07,33.376,
2013-10,33.549,
2014-01,33.090,
2014-04,32.713,
2014-07,33.088,
2014-10,32.965,
