"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.DE.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.DE.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Germany / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:09,
2009-09,73309,
2009-10,72919,
2009-11,74146,
2009-12,74964,
2010-01,76238,
2010-02,78071,
2010-03,79470,
2010-04,83947,
2010-05,85895,
2010-06,85489,
2010-07,85234,
2010-08,88107,
2010-09,86606,
2010-10,84078,
2010-11,84620,
2010-12,86954,
2011-01,83915,
2011-02,83531,
2011-03,81441,
2011-04,80717,
2011-05,82350,
2011-06,82249,
2011-07,86483,
2011-08,89648,
2011-09,91068,
2011-10,90824,
2011-11,90403,
2011-12,91166,
2012-01,87139,
2012-02,85172,
2012-03,82718,
2012-04,82270,
2012-05,84102,
2012-06,81658,
2012-07,81446,
2012-08,80927,
2012-09,79117,
2012-10,78222,
2012-11,76953,
2012-12,76689,
2013-01,75321,
2013-02,78140,
2013-03,78516,
2013-04,77595,
2013-05,77315,
2013-06,77251,
2013-07,77344,
2013-08,77319,
2013-09,76487,
2013-10,75371,
2013-11,73758,
2013-12,73234,
2014-01,73144,
2014-02,73351,
2014-03,72930,
2014-04,71708,
2014-05,72304,
2014-06,72781,
2014-07,73983,
2014-08,75468,
2014-09,74734,
2014-10,75087,
2014-11,75421,
