"",BBK01.OEBI01H,BBK01.OEBI01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:11,
2002-01,120.027,
2002-04,120.870,
2002-07,120.657,
2002-10,123.131,
2003-01,121.337,
2003-04,123.615,
2003-07,122.223,
2003-10,120.773,
2004-01,123.986,
2004-04,117.870,
2004-07,116.196,
2004-10,116.131,
2005-01,133.548,
2005-04,134.658,
2005-07,138.422,
2005-10,138.499,
2006-01,141.430,
2006-04,145.856,
2006-07,146.617,
2006-10,147.492,
2007-01,157.826,
2007-04,161.137,
2007-07,170.186,
2007-10,174.333,
2008-01,179.140,
2008-04,182.960,
2008-07,191.220,
2008-10,208.757,
2009-01,209.292,
2009-04,205.704,
2009-07,194.104,
2009-10,185.122,
2010-01,186.682,
2010-04,190.980,
2010-07,196.806,
2010-10,191.805,
2011-01,197.187,
2011-04,205.177,
2011-07,220.661,
2011-10,217.691,
2012-01,220.406,
2012-04,223.889,
2012-07,237.378,
2012-10,218.791,
2013-01,223.566,
2013-04,231.372,
2013-07,210.685,
2013-10,211.709,
2014-01,214.920,
2014-04,215.945,
2014-07,215.840,
