"",BBK01.OEAO04K,BBK01.OEAO04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:30,
2002-01,-0.096,
2002-04,-0.636,
2002-07,-0.035,
2002-10,0.281,
2003-01,0.119,
2003-04,-0.113,
2003-07,-0.064,
2003-10,-0.014,
2004-01,-0.058,
2004-04,-0.080,
2004-07,0.022,
2004-10,0.033,
2005-01,-0.067,
2005-04,0.076,
2005-07,-0.174,
2005-10,-0.179,
2006-01,-0.141,
2006-04,-0.043,
2006-07,-0.160,
2006-10,-0.020,
2007-01,0.052,
2007-04,-0.250,
2007-07,-0.230,
2007-10,0.139,
2008-01,0.049,
2008-04,-0.090,
2008-07,-0.344,
2008-10,0.772,
2009-01,-0.163,
2009-04,-0.041,
2009-07,0.094,
2009-10,-0.400,
2010-01,-0.102,
2010-04,-0.089,
2010-07,0.026,
2010-10,0.187,
2011-01,0.042,
2011-04,0.011,
2011-07,-0.160,
2011-10,-0.234,
2012-01,0.118,
2012-04,-0.131,
2012-07,0.210,
2012-10,-0.103,
2013-01,-0.270,
2013-04,-0.214,
2013-07,-0.027,
2013-10,0.026,
2014-01,0.455,
2014-04,0.111,
2014-07,0.202,
