"",BBNZ1.Q.DE.N.H.0110.A,BBNZ1.Q.DE.N.H.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:48,
1991-01,36.94,
1991-04,35.83,
1991-07,36.36,
1991-10,38.36,
1992-01,37.46,
1992-04,35.96,
1992-07,36.26,
1992-10,37.29,
1993-01,34.07,
1993-04,34.18,
1993-07,33.36,
1993-10,36.64,
1994-01,35.50,
1994-04,37.85,
1994-07,36.54,
1994-10,39.20,
1995-01,39.01,
1995-04,39.46,
1995-07,38.48,
1995-10,41.95,
1996-01,40.58,
1996-04,41.11,
1996-07,41.30,
1996-10,45.26,
1997-01,43.02,
1997-04,47.10,
1997-07,47.83,
1997-10,50.91,
1998-01,49.43,
1998-04,51.37,
1998-07,50.12,
1998-10,52.47,
1999-01,49.34,
1999-04,53.45,
1999-07,53.42,
1999-10,58.05,
2000-01,57.84,
2000-04,60.11,
2000-07,59.75,
2000-10,66.18,
2001-01,63.83,
2001-04,64.43,
2001-07,63.12,
2001-10,66.41,
2002-01,63.35,
2002-04,67.44,
2002-07,67.48,
2002-10,70.48,
2003-01,66.16,
2003-04,66.81,
2003-07,68.57,
2003-10,72.34,
2004-01,73.40,
2004-04,77.21,
2004-07,75.23,
2004-10,79.39,
2005-01,76.35,
2005-04,80.80,
2005-07,81.87,
2005-10,86.54,
2006-01,87.32,
2006-04,88.50,
2006-07,90.41,
2006-10,99.32,
2007-01,97.55,
2007-04,98.57,
2007-07,99.87,
2007-10,103.60,
2008-01,102.28,
2008-04,105.02,
2008-07,101.88,
2008-10,98.17,
2009-01,84.62,
2009-04,83.82,
2009-07,87.49,
2009-10,93.32,
2010-01,92.57,
2010-04,99.48,
2010-07,100.99,
2010-10,106.96,
2011-01,106.10,
2011-04,107.23,
2011-07,108.04,
2011-10,110.64,
2012-01,111.40,
2012-04,110.61,
2012-07,111.40,
2012-10,110.79,
2013-01,109.70,
2013-04,112.75,
2013-07,113.15,
2013-10,115.60,
2014-01,113.97,
2014-04,115.28,
2014-07,118.32,
2014-10,121.01,
