"",BBK01.CEFAC0,BBK01.CEFAC0_FLAGS
"",short-term debt securities                                                  debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:41,
1999-01,12.6,
1999-04,12.0,
1999-07,11.8,
1999-10,12.6,
2000-01,11.1,
2000-04,11.0,
2000-07,11.2,
2000-10,10.9,
2001-01,11.1,
2001-04,13.0,
2001-07,18.8,
2001-10,22.4,
2002-01,17.1,
2002-04,21.5,
2002-07,30.8,
2002-10,30.1,
2003-01,30.0,
2003-04,30.6,
2003-07,32.8,
2003-10,35.4,
2004-01,36.7,
2004-04,36.9,
2004-07,37.1,
2004-10,35.3,
2005-01,37.1,
2005-04,36.8,
2005-07,36.8,
2005-10,36.6,
2006-01,36.5,
2006-04,37.0,
2006-07,37.5,
2006-10,37.4,
2007-01,38.1,
2007-04,38.0,
2007-07,38.8,
2007-10,38.7,
2008-01,38.8,
2008-04,39.0,
2008-07,42.0,
2008-10,44.1,
2009-01,69.6,
2009-04,98.5,
2009-07,109.5,
2009-10,105.9,
2010-01,93.7,
2010-04,86.5,
2010-07,87.5,
2010-10,86.6,
2011-01,98.6,
2011-04,103.5,
2011-07,114.2,
2011-10,116.1,
2012-01,116.1,
2012-04,121.3,
2012-07,105.7,
2012-10,107.2,
2013-01,105.3,
2013-04,103.9,
2013-07,94.2,
2013-10,85.8,
2014-01,82.0,
2014-04,76.0,
2014-07,75.5,
