"",BBK01.OEXL09K,BBK01.OEXL09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:41,
2002-01,0.444,
2002-04,0.417,
2002-07,0.438,
2002-10,0.412,
2003-01,0.363,
2003-04,0.333,
2003-07,0.312,
2003-10,0.310,
2004-01,0.288,
2004-04,0.270,
2004-07,0.255,
2004-10,0.241,
2005-01,0.247,
2005-04,0.235,
2005-07,0.207,
2005-10,0.207,
2006-01,0.217,
2006-04,0.238,
2006-07,0.248,
2006-10,0.272,
2007-01,0.390,
2007-04,0.452,
2007-07,0.513,
2007-10,0.610,
2008-01,0.650,
2008-04,0.713,
2008-07,0.759,
2008-10,1.110,
2009-01,1.071,
2009-04,1.073,
2009-07,1.045,
2009-10,0.827,
2010-01,0.675,
2010-04,0.670,
2010-07,0.635,
2010-10,0.752,
2011-01,0.864,
2011-04,0.878,
2011-07,0.876,
2011-10,0.844,
2012-01,0.766,
2012-04,0.750,
2012-07,0.703,
2012-10,0.600,
2013-01,0.519,
2013-04,0.460,
2013-07,0.428,
2013-10,0.418,
2014-01,0.396,
2014-04,0.381,
2014-07,0.480,
