"",BBK01.OEHB01J,BBK01.OEHB01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:27,
2002-01,9.360,
2002-04,9.639,
2002-07,9.433,
2002-10,9.399,
2003-01,9.392,
2003-04,9.345,
2003-07,9.309,
2003-10,9.398,
2004-01,9.503,
2004-04,9.702,
2004-07,9.684,
2004-10,9.646,
2005-01,10.439,
2005-04,10.428,
2005-07,10.408,
2005-10,10.576,
2006-01,10.456,
2006-04,10.475,
2006-07,10.445,
2006-10,10.445,
2007-01,10.292,
2007-04,10.276,
2007-07,10.286,
2007-10,10.394,
2008-01,10.364,
2008-04,10.538,
2008-07,10.629,
2008-10,10.678,
2009-01,10.653,
2009-04,10.729,
2009-07,9.980,
2009-10,9.948,
2010-01,9.927,
2010-04,10.056,
2010-07,9.893,
2010-10,10.059,
2011-01,10.025,
2011-04,10.072,
2011-07,10.155,
2011-10,10.167,
2012-01,10.211,
2012-04,10.308,
2012-07,10.398,
2012-10,10.355,
2013-01,10.397,
2013-04,10.477,
2013-07,10.435,
2013-10,10.453,
2014-01,10.473,
2014-04,10.532,
2014-07,10.587,
