"",BBK01.OEXB16V,BBK01.OEXB16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:35,
2002-01,1.050,
2002-04,1.038,
2002-07,1.023,
2002-10,1.007,
2003-01,1.006,
2003-04,0.988,
2003-07,0.989,
2003-10,0.973,
2004-01,0.984,
2004-04,0.892,
2004-07,0.876,
2004-10,0.860,
2005-01,0.816,
2005-04,0.808,
2005-07,0.686,
2005-10,0.702,
2006-01,0.707,
2006-04,0.724,
2006-07,0.739,
2006-10,0.762,
2007-01,0.782,
2007-04,0.789,
2007-07,0.802,
2007-10,0.875,
2008-01,0.843,
2008-04,0.858,
2008-07,0.857,
2008-10,0.881,
2009-01,0.877,
2009-04,0.895,
2009-07,0.913,
2009-10,0.940,
2010-01,0.955,
2010-04,0.963,
2010-07,0.985,
2010-10,0.977,
2011-01,0.992,
2011-04,0.985,
2011-07,1.001,
2011-10,0.994,
2012-01,1.000,
2012-04,1.002,
2012-07,0.993,
2012-10,1.022,
2013-01,1.037,
2013-04,1.048,
2013-07,1.062,
2013-10,1.065,
2014-01,1.063,
2014-04,1.122,
2014-07,1.129,
