"",BBK01.OEYJ01S,BBK01.OEYJ01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:32,
2002-01,0.061,
2002-04,0.070,
2002-07,0.059,
2002-10,0.077,
2003-01,0.070,
2003-04,0.066,
2003-07,0.066,
2003-10,0.068,
2004-01,0.074,
2004-04,0.071,
2004-07,0.062,
2004-10,0.078,
2005-01,0.071,
2005-04,0.066,
2005-07,0.062,
2005-10,0.106,
2006-01,0.083,
2006-04,0.094,
2006-07,0.094,
2006-10,0.145,
2007-01,0.091,
2007-04,0.106,
2007-07,0.088,
2007-10,0.075,
2008-01,0.086,
2008-04,0.081,
2008-07,0.088,
2008-10,0.070,
2009-01,0.065,
2009-04,0.077,
2009-07,0.113,
2009-10,0.164,
2010-01,0.181,
2010-04,0.175,
2010-07,0.177,
2010-10,0.189,
2011-01,0.296,
2011-04,0.256,
2011-07,0.266,
2011-10,0.438,
2012-01,0.569,
2012-04,0.563,
2012-07,0.759,
2012-10,0.647,
2013-01,0.900,
2013-04,1.041,
2013-07,0.994,
2013-10,0.716,
2014-01,0.830,
2014-04,0.734,
2014-07,0.841,
