"",BBK01.OEAF35L,BBK01.OEAF35L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:23,
2002-01,12.745,
2002-04,13.018,
2002-07,13.081,
2002-10,11.775,
2003-01,12.392,
2003-04,13.276,
2003-07,13.414,
2003-10,13.378,
2004-01,13.443,
2004-04,18.988,
2004-07,13.688,
2004-10,13.515,
2005-01,13.418,
2005-04,13.318,
2005-07,13.491,
2005-10,12.963,
2006-01,12.832,
2006-04,13.018,
2006-07,12.903,
2006-10,12.661,
2007-01,12.401,
2007-04,12.826,
2007-07,12.623,
2007-10,12.366,
2008-01,12.323,
2008-04,12.386,
2008-07,12.210,
2008-10,11.237,
2009-01,11.245,
2009-04,11.389,
2009-07,11.158,
2009-10,12.985,
2010-01,13.405,
2010-04,13.465,
2010-07,11.024,
2010-10,11.102,
2011-01,10.984,
2011-04,11.275,
2011-07,11.311,
2011-10,11.187,
2012-01,10.957,
2012-04,11.162,
2012-07,11.754,
2012-10,11.477,
2013-01,11.490,
2013-04,11.532,
2013-07,11.539,
2013-10,11.524,
2014-01,11.492,
2014-04,11.785,
2014-07,11.867,
