"",BBFN1.M.DE.N.1.L.IN.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IN.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:49,
1995-01,0.010,
1995-02,0.009,
1995-03,0.009,
1995-04,0.009,
1995-05,0.009,
1995-06,0.010,
1995-07,0.010,
1995-08,0.010,
1995-09,0.012,
1995-10,0.011,
1995-11,0.016,
1995-12,0.011,
1996-01,0.011,
1996-02,0.013,
1996-03,0.014,
1996-04,0.021,
1996-05,0.021,
1996-06,0.016,
1996-07,0.013,
1996-08,0.012,
1996-09,0.016,
1996-10,0.017,
1996-11,0.013,
1996-12,0.018,
1997-01,0.018,
1997-02,0.015,
1997-03,0.014,
1997-04,0.015,
1997-05,0.016,
1997-06,0.017,
1997-07,0.018,
1997-08,0.017,
1997-09,0.015,
1997-10,0.014,
1997-11,0.014,
1997-12,0.013,
1998-01,0.014,
1998-02,0.014,
1998-03,0.007,
1998-04,0.009,
1998-05,0.007,
1998-06,0.009,
1998-07,0.007,
1998-08,0.005,
1998-09,0.004,
1998-10,0.005,
1998-11,0.005,
1998-12,0.003,
1999-01,0.004,
1999-02,0.005,
1999-03,0.005,
1999-04,0.005,
1999-05,0.005,
1999-06,0.005,
1999-07,0.005,
1999-08,0.004,
1999-09,0.004,
1999-10,0.004,
1999-11,0.003,
1999-12,0.003,
2000-01,0.004,
2000-02,0.004,
2000-03,0.001,
2000-04,0.002,
2000-05,0.002,
2000-06,0.002,
2000-07,0.002,
2000-08,0.004,
2000-09,0.002,
2000-10,0.002,
2000-11,0.002,
2000-12,0.003,
2001-01,0.004,
2001-02,0.005,
2001-03,0.004,
2001-04,0.004,
2001-05,0.005,
2001-06,0.003,
2001-07,0.006,
2001-08,0.009,
2001-09,0.004,
2001-10,0.014,
2001-11,0.013,
2001-12,0.012,
2002-01,0.013,
2002-02,0.023,
2002-03,0.017,
2002-04,0.027,
2002-05,0.022,
2002-06,0.021,
2002-07,0.026,
2002-08,0.020,
2002-09,0.017,
2002-10,0.014,
2002-11,0.020,
2002-12,0.020,
2003-01,0.016,
2003-02,0.016,
2003-03,0.017,
2003-04,0.012,
2003-05,0.013,
2003-06,0.013,
2003-07,0.011,
2003-08,0.011,
2003-09,0.011,
2003-10,0.010,
2003-11,0.035,
2003-12,0.029,
2004-01,0.032,
2004-02,0.032,
2004-03,0.038,
2004-04,0.035,
2004-05,0.033,
2004-06,0.039,
2004-07,0.037,
2004-08,0.042,
2004-09,0.037,
2004-10,0.094,
2004-11,0.044,
2004-12,0.048,
2005-01,0.048,
2005-02,0.052,
2005-03,0.056,
2005-04,0.050,
2005-05,0.051,
2005-06,0.058,
2005-07,0.060,
2005-08,0.061,
2005-09,0.064,
2005-10,0.054,
2005-11,0.056,
2005-12,0.063,
2006-01,0.059,
2006-02,0.068,
2006-03,0.076,
2006-04,0.063,
2006-05,0.057,
2006-06,0.068,
2006-07,0.067,
2006-08,0.061,
2006-09,0.068,
2006-10,0.055,
2006-11,0.058,
2006-12,0.069,
2007-01,0.060,
2007-02,0.066,
2007-03,0.072,
2007-04,0.014,
2007-05,0.016,
2007-06,0.016,
2007-07,0.017,
2007-08,0.019,
2007-09,0.019,
2007-10,0.015,
2007-11,0.017,
2007-12,0.021,
2008-01,0.015,
2008-02,0.017,
2008-03,0.027,
2008-04,0.025,
2008-05,0.018,
2008-06,0.019,
2008-07,0.015,
2008-08,0.125,
2008-09,0.125,
2008-10,0.122,
2008-11,0.126,
2008-12,0.131,
2009-01,0.128,
2009-02,0.131,
2009-03,0.131,
2009-04,0.128,
2009-05,0.124,
2009-06,0.125,
2009-07,0.125,
2009-08,0.128,
2009-09,0.129,
2009-10,0.123,
2009-11,0.126,
2009-12,0.456,
2010-01,0.469,
2010-02,0.453,
2010-03,0.486,
2010-04,0.476,
2010-05,0.478,
2010-06,0.522,
2010-07,0.516,
2010-08,0.511,
2010-09,0.491,
2010-10,0.488,
2010-11,0.483,
2010-12,0.505,
2011-01,0.489,
2011-02,0.487,
2011-03,0.487,
2011-04,0.478,
2011-05,0.480,
2011-06,0.526,
2011-07,0.476,
2011-08,0.475,
2011-09,0.501,
2011-10,0.482,
2011-11,0.493,
2011-12,0.451,
2012-01,0.449,
2012-02,0.458,
2012-03,0.434,
2012-04,0.433,
2012-05,0.424,
2012-06,0.445,
2012-07,0.443,
2012-08,0.444,
2012-09,0.437,
2012-10,0.427,
2012-11,0.431,
2012-12,0.433,
2013-01,0.424,
2013-02,0.439,
2013-03,0.454,
2013-04,0.207,
2013-05,0.159,
2013-06,0.174,
2013-07,0.164,
2013-08,0.169,
2013-09,0.153,
2013-10,0.145,
2013-11,0.149,
2013-12,0.150,
2014-01,0.120,
2014-02,0.130,
2014-03,0.094,
2014-04,0.098,
2014-05,0.104,
2014-06,0.104,
2014-07,0.103,
2014-08,0.110,
2014-09,0.103,
2014-10,0.117,
2014-11,0.118,
2014-12,0.126,
