"",BBK01.OEXB02N,BBK01.OEXB02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:56,
2002-01,18.748,
2002-04,17.889,
2002-07,17.526,
2002-10,18.376,
2003-01,18.296,
2003-04,18.784,
2003-07,18.029,
2003-10,17.203,
2004-01,17.749,
2004-04,17.054,
2004-07,16.838,
2004-10,14.137,
2005-01,16.652,
2005-04,16.020,
2005-07,15.094,
2005-10,16.447,
2006-01,16.169,
2006-04,16.139,
2006-07,16.703,
2006-10,15.905,
2007-01,17.675,
2007-04,17.688,
2007-07,16.528,
2007-10,16.053,
2008-01,16.783,
2008-04,17.352,
2008-07,19.139,
2008-10,17.843,
2009-01,18.268,
2009-04,17.420,
2009-07,15.575,
2009-10,13.291,
2010-01,13.677,
2010-04,14.737,
2010-07,15.063,
2010-10,13.727,
2011-01,17.717,
2011-04,15.082,
2011-07,17.848,
2011-10,13.847,
2012-01,15.341,
2012-04,15.380,
2012-07,15.404,
2012-10,16.693,
2013-01,19.296,
2013-04,19.772,
2013-07,18.730,
2013-10,17.225,
2014-01,18.920,
2014-04,18.779,
2014-07,18.344,
