"",BBK01.OEXK06I,BBK01.OEXK06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:31,
2002-01,0.033,
2002-04,0.034,
2002-07,0.035,
2002-10,0.035,
2003-01,0.033,
2003-04,0.033,
2003-07,0.034,
2003-10,0.035,
2004-01,0.043,
2004-04,0.038,
2004-07,0.037,
2004-10,0.037,
2005-01,0.036,
2005-04,0.035,
2005-07,0.033,
2005-10,0.033,
2006-01,0.033,
2006-04,0.032,
2006-07,0.034,
2006-10,0.033,
2007-01,0.032,
2007-04,0.033,
2007-07,0.035,
2007-10,0.044,
2008-01,0.052,
2008-04,0.058,
2008-07,0.067,
2008-10,0.085,
2009-01,0.091,
2009-04,0.080,
2009-07,0.063,
2009-10,0.054,
2010-01,0.052,
2010-04,0.061,
2010-07,0.064,
2010-10,0.070,
2011-01,0.067,
2011-04,0.077,
2011-07,0.080,
2011-10,0.075,
2012-01,0.073,
2012-04,0.074,
2012-07,0.072,
2012-10,0.065,
2013-01,0.058,
2013-04,0.045,
2013-07,0.043,
2013-10,0.043,
2014-01,0.038,
2014-04,0.017,
2014-07,0.016,
