"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.BE.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.BE.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:55,
2009-09,933,
2009-10,951,
2009-11,945,
2009-12,1030,
2010-01,1051,
2010-02,1067,
2010-03,1139,
2010-04,1103,
2010-05,1119,
2010-06,1119,
2010-07,1176,
2010-08,1170,
2010-09,1261,
2010-10,1302,
2010-11,1259,
2010-12,1300,
2011-01,1289,
2011-02,1283,
2011-03,1270,
2011-04,1343,
2011-05,1326,
2011-06,1265,
2011-07,1234,
2011-08,1180,
2011-09,1127,
2011-10,1136,
2011-11,1137,
2011-12,1176,
2012-01,1175,
2012-02,1217,
2012-03,1299,
2012-04,1250,
2012-05,1245,
2012-06,1334,
2012-07,1415,
2012-08,1403,
2012-09,1414,
2012-10,1434,
2012-11,1490,
2012-12,1498,
2013-01,1572,
2013-02,1647,
2013-03,1657,
2013-04,1633,
2013-05,1703,
2013-06,1635,
2013-07,1741,
2013-08,1739,
2013-09,1749,
2013-10,1799,
2013-11,1793,
2013-12,1740,
2014-01,1665,
2014-02,1795,
2014-03,1807,
2014-04,1877,
2014-05,1991,
2014-06,2005,
2014-07,2054,
2014-08,2154,
2014-09,2190,
2014-10,2121,
2014-11,2285,
