"",BBK01.PQE358,BBK01.PQE358_FLAGS
"",Lending to domestic self-employed persons / Total / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:54,
1968-10,0.007,
1969-01,0.007,
1969-04,0.007,
1969-07,0.008,
1969-10,0.010,
1970-01,0.010,
1970-04,0.012,
1970-07,0.011,
1970-10,0.011,
1971-01,0.011,
1971-04,0.013,
1971-07,0.016,
1971-10,0.018,
1972-01,0.024,
1972-04,0.028,
1972-07,0.032,
1972-10,0.037,
1973-01,0.039,
1973-04,0.038,
1973-07,0.041,
1973-10,0.044,
1974-01,0.044,
1974-04,0.048,
1974-07,0.049,
1974-10,0.050,
1975-01,0.049,
1975-04,0.049,
1975-07,0.049,
1975-10,0.051,
1976-01,0.050,
1976-04,0.049,
1976-07,0.034,
1976-10,0.036,
1977-01,0.035,
1977-04,0.033,
1977-07,0.029,
1977-10,0.032,
1978-01,0.029,
1978-04,0.031,
1978-07,0.033,
1978-10,0.036,
1979-01,0.035,
1979-04,0.038,
1979-07,0.040,
1979-10,0.042,
1980-01,0.041,
1980-04,0.041,
1980-07,0.041,
1980-10,0.046,
1981-01,0.040,
1981-04,0.041,
1981-07,0.048,
1981-10,0.046,
1982-01,0.044,
1982-04,0.044,
1982-07,0.050,
1982-10,0.047,
1983-01,0.055,
1983-04,0.075,
1983-07,0.079,
1983-10,0.069,
1984-01,0.058,
1984-04,0.060,
1984-07,0.065,
1984-10,0.065,
1985-01,0.066,
1985-04,0.071,
1985-07,0.072,
1985-10,0.076,
1986-01,0.083,
1986-04,0.069,
1986-07,0.057,
1986-10,0.028,
1987-01,0.030,
1987-04,0.037,
1987-07,0.044,
1987-10,0.032,
1988-01,0.026,
1988-04,0.032,
1988-07,0.033,
1988-10,0.027,
1989-01,0.028,
1989-04,0.035,
1989-07,0.031,
1989-10,0.048,
1990-01,0.042,
1990-04,0.041,
1990-07,0.043,
1990-10,0.047,
1991-01,0.040,
1991-04,0.043,
1991-07,0.049,
1991-10,0.059,
1992-01,0.067,
1992-04,0.048,
1992-07,0.055,
1992-10,0.050,
1993-01,0.050,
1993-04,0.063,
1993-07,0.062,
1993-10,0.066,
1994-01,0.060,
1994-04,0.060,
1994-07,0.062,
1994-10,0.245,
1995-01,0.308,
1995-04,0.315,
1995-07,0.322,
1995-10,0.329,
1996-01,0.322,
1996-04,0.344,
1996-07,0.336,
1996-10,0.349,
1997-01,0.353,
1997-04,0.576,
1997-07,0.384,
1997-10,0.388,
1998-01,0.641,
1998-04,0.660,
1998-07,0.659,
1998-10,0.735,
1999-01,0.365,
1999-04,0.346,
1999-07,0.342,
1999-10,0.343,
2000-01,0.748,
2000-04,0.790,
2000-07,0.816,
2000-10,0.944,
2001-01,1.025,
2001-04,0.897,
2001-07,0.898,
2001-10,0.899,
2002-01,0.980,
2002-04,1.066,
2002-07,1.069,
2002-10,1.080,
2003-01,1.222,
2003-04,0.794,
2003-07,0.883,
2003-10,0.886,
2004-01,0.851,
2004-04,0.863,
2004-07,0.913,
2004-10,0.921,
2005-01,0.876,
2005-04,0.906,
2005-07,0.944,
2005-10,0.937,
2006-01,0.926,
2006-04,0.949,
2006-07,1.004,
2006-10,1.073,
2007-01,1.067,
2007-04,1.062,
2007-07,1.128,
2007-10,1.141,
2008-01,1.164,
2008-04,1.215,
2008-07,1.317,
2008-10,1.446,
2009-01,1.419,
2009-04,1.506,
2009-07,1.515,
2009-10,1.631,
2010-01,1.619,
2010-04,1.961,
2010-07,2.003,
2010-10,1.878,
2011-01,1.947,
2011-04,1.983,
2011-07,2.041,
2011-10,2.103,
2012-01,2.088,
2012-04,2.189,
2012-07,2.240,
2012-10,2.281,
2013-01,2.303,
2013-04,2.392,
2013-07,2.476,
2013-10,2.524,
2014-01,2.561,
2014-04,2.715,
2014-07,2.793,
2014-10,2.532,
