"",BBK01.OELL01I,BBK01.OELL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:39,
2002-01,5.005,
2002-04,5.128,
2002-07,4.941,
2002-10,5.110,
2003-01,5.199,
2003-04,5.562,
2003-07,5.208,
2003-10,5.482,
2004-01,5.394,
2004-04,5.348,
2004-07,5.331,
2004-10,5.977,
2005-01,5.711,
2005-04,5.687,
2005-07,5.705,
2005-10,5.884,
2006-01,5.924,
2006-04,5.977,
2006-07,5.932,
2006-10,5.610,
2007-01,5.514,
2007-04,5.563,
2007-07,5.453,
2007-10,5.546,
2008-01,5.542,
2008-04,5.519,
2008-07,5.246,
2008-10,5.498,
2009-01,6.221,
2009-04,5.579,
2009-07,5.565,
2009-10,5.671,
2010-01,5.659,
2010-04,5.738,
2010-07,5.793,
2010-10,5.782,
2011-01,5.786,
2011-04,5.815,
2011-07,5.788,
2011-10,5.843,
2012-01,5.839,
2012-04,5.839,
2012-07,5.881,
2012-10,5.944,
2013-01,6.018,
2013-04,6.114,
2013-07,6.165,
2013-10,6.258,
2014-01,6.147,
2014-04,6.224,
2014-07,6.302,
