"",BBSF2.M.1.P.00000.REN01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:36,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,176,
1993-05,149,
1993-06,214,
1993-07,427,
1993-08,366,
1993-09,101,
1993-10,157,
1993-11,286,
1993-12,85,
1994-01,187,
1994-02,71,
1994-03,759,
1994-04,246,
1994-05,1000,
1994-06,245,
1994-07,117,
1994-08,108,
1994-09,110,
1994-10,78,
1994-11,63,
1994-12,24,
1995-01,57,
1995-02,123,
1995-03,161,
1995-04,147,
1995-05,250,
1995-06,140,
1995-07,134,
1995-08,274,
1995-09,52,
1995-10,199,
1995-11,114,
1995-12,50,
1996-01,79,
1996-02,69,
1996-03,111,
1996-04,170,
1996-05,109,
1996-06,80,
1996-07,107,
1996-08,105,
1996-09,25,
1996-10,38,
1996-11,131,
1996-12,72,
1997-01,112,
1997-02,108,
1997-03,82,
1997-04,161,
1997-05,37,
1997-06,118,
1997-07,249,
1997-08,178,
1997-09,29,
1997-10,135,
1997-11,32,
1997-12,36,
1998-01,128,
1998-02,43,
1998-03,63,
1998-04,68,
1998-05,86,
1998-06,47,
1998-07,56,
1998-08,90,
1998-09,35,
1998-10,73,
1998-11,108,
1998-12,45,
1999-01,88,
1999-02,46,
1999-03,89,
1999-04,89,
1999-05,38,
1999-06,86,
1999-07,158,
1999-08,17,
1999-09,57,
1999-10,23,
1999-11,103,
1999-12,5,
2000-01,118,
2000-02,163,
2000-03,116,
2000-04,52,
2000-05,54,
2000-06,9,
2000-07,91,
2000-08,52,
2000-09,58,
2000-10,95,
2000-11,18,
2000-12,12,
2001-01,53,
2001-02,99,
2001-03,87,
2001-04,89,
2001-05,39,
2001-06,97,
2001-07,18,
2001-08,36,
2001-09,9,
2001-10,71,
2001-11,82,
2001-12,26,
2002-01,196,
2002-02,22,
2002-03,37,
2002-04,63,
2002-05,161,
2002-06,188,
2002-07,54,
2002-08,324,
2002-09,8,
2002-10,60,
2002-11,113,
2002-12,75,
2003-01,124,
2003-02,92,
2003-03,78,
2003-04,43,
2003-05,106,
2003-06,162,
2003-07,93,
2003-08,55,
2003-09,60,
2003-10,31,
2003-11,102,
2003-12,86,
2004-01,126,
2004-02,112,
2004-03,58,
2004-04,62,
2004-05,132,
2004-06,137,
2004-07,92,
2004-08,63,
2004-09,68,
2004-10,78,
2004-11,183,
2004-12,83,
2005-01,30,
2005-02,132,
2005-03,44,
2005-04,104,
2005-05,121,
2005-06,126,
2005-07,75,
2005-08,115,
2005-09,127,
2005-10,72,
2005-11,182,
2005-12,75,
2006-01,83,
2006-02,83,
2006-03,63,
2006-04,123,
2006-05,140,
2006-06,156,
2006-07,120,
2006-08,103,
2006-09,19,
2006-10,20,
2006-11,118,
2006-12,13,
2007-01,19,
2007-02,10,
2007-03,124,
2007-04,41,
2007-05,53,
2007-06,13,
2007-07,29,
2007-08,74,
2007-09,43,
2007-10,34,
2007-11,49,
2007-12,17,
2008-01,36,
2008-02,44,
2008-03,16,
2008-04,90,
2008-05,167,
2008-06,40,
2008-07,38,
2008-08,73,
2008-09,80,
2008-10,31,
2008-11,16,
2008-12,6,
2009-01,22,
2009-02,33,
2009-03,16,
2009-04,37,
2009-05,32,
2009-06,9,
2009-07,8,
2009-08,2,
2009-09,18,
2009-10,11,
2009-11,13,
2009-12,2,
2010-01,9,
2010-02,10,
2010-03,43,
2010-04,49,
2010-05,31,
2010-06,22,
2010-07,155,
2010-08,21,
2010-09,56,
2010-10,267,
2010-11,390,
2010-12,327,
2011-01,219,
2011-02,490,
2011-03,471,
2011-04,375,
2011-05,409,
2011-06,230,
2011-07,289,
2011-08,149,
2011-09,132,
2011-10,32,
2011-11,77,
2011-12,25,
2012-01,27,
2012-02,174,
2012-03,78,
2012-04,172,
2012-05,69,
2012-06,233,
2012-07,207,
2012-08,424,
2012-09,448,
2012-10,430,
2012-11,179,
2012-12,260,
2013-01,324,
2013-02,378,
2013-03,317,
2013-04,241,
2013-05,119,
2013-06,108,
2013-07,159,
2013-08,206,
2013-09,206,
2013-10,348,
2013-11,102,
2013-12,81,
2014-01,72,
2014-02,41,
2014-03,95,
2014-04,59,
2014-05,74,
2014-06,70,
2014-07,35,
2014-08,31,
2014-09,37,
2014-10,99,
2014-11,126,
