"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F89.T._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F89.T._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:29,
1999-10,12431,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,13405,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,13318,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,13852,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,15633,
2004-01,15963,
2004-04,16456,
2004-07,16690,
2004-10,17276,
2005-01,17479,
2005-04,17862,
2005-07,18199,
2005-10,18535,
2006-01,18940,
2006-04,19100,
2006-07,19755,
2006-10,20286,
2007-01,20618,
2007-04,20762,
2007-07,20959,
2007-10,20841,
2008-01,20846,
2008-04,20940,
2008-07,20994,
2008-10,21004,
2009-01,21063,
2009-04,21123,
2009-07,21314,
2009-10,21522,
2010-01,20687,
2010-04,20822,
2010-07,20911,
2010-10,21668,
2011-01,21312,
2011-04,21852,
2011-07,21989,
2011-10,24145,
2012-01,22247,
2012-04,21193,
2012-07,21282,
2012-10,23127,
2013-01,21279,
2013-04,21442,
2013-07,21319,
2013-10,22883,
2014-01,21493,
2014-04,21618,
2014-07,21818,
