"",BBFN1.M.DE.N.1.A.AR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:54,
1982-09,0.075,
1982-10,0.063,
1982-11,0.061,
1982-12,0.081,
1983-01,0.072,
1983-02,0.073,
1983-03,0.073,
1983-04,0.070,
1983-05,0.077,
1983-06,0.072,
1983-07,0.076,
1983-08,0.076,
1983-09,0.079,
1983-10,0.081,
1983-11,0.080,
1983-12,0.062,
1984-01,0.062,
1984-02,0.057,
1984-03,0.058,
1984-04,0.050,
1984-05,0.073,
1984-06,0.098,
1984-07,0.097,
1984-08,0.099,
1984-09,0.095,
1984-10,0.097,
1984-11,0.094,
1984-12,0.097,
1985-01,0.076,
1985-02,0.075,
1985-03,0.075,
1985-04,0.080,
1985-05,0.084,
1985-06,0.082,
1985-07,0.080,
1985-08,0.081,
1985-09,0.081,
1985-10,0.081,
1985-11,0.078,
1985-12,0.075,
1986-01,0.074,
1986-02,0.087,
1986-03,0.095,
1986-04,0.097,
1986-05,0.095,
1986-06,0.090,
1986-07,0.087,
1986-08,0.084,
1986-09,0.082,
1986-10,0.085,
1986-11,0.086,
1986-12,0.046,
1987-01,0.046,
1987-02,0.047,
1987-03,0.048,
1987-04,0.041,
1987-05,0.040,
1987-06,0.040,
1987-07,0.043,
1987-08,0.158,
1987-09,0.162,
1987-10,0.161,
1987-11,0.162,
1987-12,0.154,
1988-01,0.153,
1988-02,0.156,
1988-03,0.158,
1988-04,0.162,
1988-05,0.164,
1988-06,0.168,
1988-07,0.161,
1988-08,0.165,
1988-09,0.166,
1988-10,0.169,
1988-11,0.168,
1988-12,0.163,
1989-01,0.173,
1989-02,0.172,
1989-03,0.173,
1989-04,0.166,
1989-05,0.165,
1989-06,0.166,
1989-07,0.167,
1989-08,0.173,
1989-09,0.174,
1989-10,0.169,
1989-11,0.164,
1989-12,0.158,
1990-01,0.165,
1990-02,0.163,
1990-03,0.172,
1990-04,0.175,
1990-05,0.195,
1990-06,0.205,
1990-07,0.220,
1990-08,0.233,
1990-09,0.218,
1990-10,0.225,
1990-11,0.224,
1990-12,0.194,
1991-01,0.222,
1991-02,0.236,
1991-03,0.248,
1991-04,0.249,
1991-05,0.277,
1991-06,0.283,
1991-07,0.293,
1991-08,0.294,
1991-09,0.361,
1991-10,0.269,
1991-11,0.356,
1991-12,0.357,
1992-01,0.420,
1992-02,0.322,
1992-03,0.337,
1992-04,0.338,
1992-05,0.333,
1992-06,0.318,
1992-07,0.311,
1992-08,0.312,
1992-09,0.184,
1992-10,0.180,
1992-11,0.182,
1992-12,0.191,
1993-01,0.208,
1993-02,0.227,
1993-03,0.217,
1993-04,0.221,
1993-05,0.232,
1993-06,0.233,
1993-07,0.224,
1993-08,0.228,
1993-09,0.234,
1993-10,0.221,
1993-11,0.225,
1993-12,0.250,
1994-01,0.249,
1994-02,0.240,
1994-03,0.231,
1994-04,0.234,
1994-05,0.235,
1994-06,0.226,
1994-07,0.217,
1994-08,0.254,
1994-09,0.229,
1994-10,0.239,
1994-11,0.224,
1994-12,0.218,
1995-01,0.216,
1995-02,0.243,
1995-03,0.229,
1995-04,0.236,
1995-05,0.258,
1995-06,0.212,
1995-07,0.187,
1995-08,0.200,
1995-09,0.213,
1995-10,0.209,
1995-11,0.205,
1995-12,0.224,
1996-01,0.240,
1996-02,0.247,
1996-03,0.245,
1996-04,0.251,
1996-05,0.214,
1996-06,0.215,
1996-07,0.211,
1996-08,0.215,
1996-09,0.223,
1996-10,0.224,
1996-11,0.233,
1996-12,0.287,
1997-01,0.294,
1997-02,0.319,
1997-03,0.303,
1997-04,0.314,
1997-05,0.311,
1997-06,0.311,
