"",BBK01.OEBB11G,BBK01.OEBB11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:36,
2002-01,2.561,
2002-04,3.309,
2002-07,3.362,
2002-10,3.142,
2003-01,3.165,
2003-04,3.084,
2003-07,3.073,
2003-10,3.450,
2004-01,3.590,
2004-04,3.748,
2004-07,3.672,
2004-10,4.358,
2005-01,3.369,
2005-04,3.402,
2005-07,3.042,
2005-10,2.997,
2006-01,3.116,
2006-04,3.141,
2006-07,3.093,
2006-10,2.792,
2007-01,2.674,
2007-04,2.802,
2007-07,2.869,
2007-10,2.898,
2008-01,2.924,
2008-04,3.023,
2008-07,3.131,
2008-10,3.254,
2009-01,3.469,
2009-04,4.917,
2009-07,4.988,
2009-10,5.961,
2010-01,6.402,
2010-04,6.911,
2010-07,7.451,
2010-10,8.478,
2011-01,8.430,
2011-04,8.472,
2011-07,8.709,
2011-10,9.611,
2012-01,9.879,
2012-04,9.790,
2012-07,9.897,
2012-10,9.483,
2013-01,9.233,
2013-04,9.454,
2013-07,9.177,
2013-10,10.282,
2014-01,10.185,
2014-04,9.831,
2014-07,9.775,
