"",BBSF2.M.1.T.00000.AKT01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.AKT01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Equity funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:18,
2009-09,215,
2009-10,240,
2009-11,256,
2009-12,334,
2010-01,542,
2010-02,714,
2010-03,408,
2010-04,503,
2010-05,584,
2010-06,559,
2010-07,577,
2010-08,732,
2010-09,460,
2010-10,564,
2010-11,503,
2010-12,621,
2011-01,120,
2011-02,114,
2011-03,148,
2011-04,411,
2011-05,372,
2011-06,391,
2011-07,342,
2011-08,740,
2011-09,1092,
2011-10,1019,
2011-11,1171,
2011-12,1359,
2012-01,1238,
2012-02,1319,
2012-03,1273,
2012-04,207,
2012-05,144,
2012-06,162,
2012-07,123,
2012-08,245,
2012-09,182,
2012-10,149,
2012-11,115,
2012-12,93,
2013-01,84,
2013-02,431,
2013-03,398,
2013-04,420,
2013-05,306,
2013-06,379,
2013-07,458,
2013-08,482,
2013-09,549,
2013-10,573,
2013-11,313,
2013-12,323,
2014-01,198,
2014-02,250,
2014-03,222,
2014-04,252,
2014-05,252,
2014-06,247,
2014-07,159,
2014-08,171,
2014-09,208,
2014-10,232,
2014-11,240,
