"",BBK01.OEYB24I,BBK01.OEYB24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:47,
2002-01,21.418,
2002-04,25.468,
2002-07,23.410,
2002-10,22.442,
2003-01,21.673,
2003-04,12.459,
2003-07,11.221,
2003-10,10.267,
2004-01,10.173,
2004-04,10.272,
2004-07,10.230,
2004-10,10.038,
2005-01,10.151,
2005-04,10.452,
2005-07,11.064,
2005-10,12.999,
2006-01,10.366,
2006-04,10.830,
2006-07,18.231,
2006-10,18.849,
2007-01,17.716,
2007-04,17.619,
2007-07,17.197,
2007-10,16.864,
2008-01,16.188,
2008-04,15.721,
2008-07,15.391,
2008-10,15.089,
2009-01,14.734,
2009-04,14.777,
2009-07,21.181,
2009-10,21.081,
2010-01,20.797,
2010-04,20.754,
2010-07,20.730,
2010-10,20.690,
2011-01,20.225,
2011-04,19.873,
2011-07,19.043,
2011-10,18.800,
2012-01,18.681,
2012-04,17.846,
2012-07,17.520,
2012-10,17.295,
2013-01,16.867,
2013-04,16.774,
2013-07,16.500,
2013-10,15.644,
2014-01,15.477,
2014-04,15.442,
2014-07,15.463,
