"",BBEX3.M.CNY.USD.CA.AC.A01,BBEX3.M.CNY.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in China / USD 1 = CNY ... (middle),
unit,CNY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:45,
1994-04,8.6847,
1994-05,8.6597,
1994-06,8.6526,
1994-07,8.6197,
1994-08,8.5616,
1994-09,8.5301,
1994-10,8.5266,
1994-11,8.5093,
1994-12,8.4462,
1995-01,8.4384,
1995-02,8.4316,
1995-03,8.4269,
1995-04,8.4074,
1995-05,8.3077,
1995-06,8.3011,
1995-07,8.3003,
1995-08,8.3193,
1995-09,8.3185,
1995-10,8.3149,
1995-11,8.3116,
1995-12,8.3174,
1996-01,8.3147,
1996-02,8.3207,
1996-03,8.3338,
1996-04,8.3306,
1996-05,8.3263,
1996-06,8.3221,
1996-07,8.3109,
1996-08,8.3063,
1996-09,8.3017,
1996-10,8.3007,
1996-11,8.3012,
1996-12,8.2982,
1997-01,8.2938,
1997-02,8.2948,
1997-03,8.2964,
1997-04,8.2949,
1997-05,8.2921,
1997-06,8.2910,
1997-07,8.2901,
1997-08,8.2884,
1997-09,8.2849,
1997-10,8.2836,
1997-11,8.2796,
1997-12,8.2798,
1998-01,8.2782,
1998-02,8.2789,
1998-03,8.2791,
1998-04,8.2781,
1998-05,8.2793,
1998-06,8.2798,
1998-07,8.2799,
1998-08,8.2800,
1998-09,8.2782,
1998-10,8.2778,
1998-11,8.2782,
1998-12,8.2787,
1999-01,8.2778,
1999-02,8.2790,
1999-03,8.2800,
1999-04,8.2794,
1999-05,8.2786,
1999-06,8.2786,
1999-07,8.2774,
1999-08,8.2771,
1999-09,8.2775,
1999-10,8.2778,
1999-11,8.2789,
1999-12,8.2797,
2000-01,8.2781,
2000-02,8.2786,
2000-03,8.2788,
2000-04,8.2799,
2000-05,8.2772,
2000-06,8.2780,
2000-07,8.2794,
2000-08,8.2788,
2000-09,8.2799,
2000-10,8.2780,
2000-11,8.2774,
2000-12,8.2781,
2001-01,8.2786,
2001-02,8.2781,
2001-03,8.2777,
2001-04,8.2773,
2001-05,8.2777,
2001-06,8.2767,
2001-07,8.2767,
2001-08,8.2767,
2001-09,8.2769,
2001-10,8.2768,
2001-11,8.2774,
2001-12,8.2768,
2002-01,8.2765,
2002-02,8.2766,
2002-03,8.2774,
2002-04,8.2771,
2002-05,8.2766,
2002-06,8.2771,
2002-07,8.2766,
2002-08,8.2768,
2002-09,8.2771,
2002-10,8.2771,
2002-11,8.2772,
2002-12,8.2773,
2003-01,8.2767,
2003-02,8.2774,
2003-03,8.2771,
2003-04,8.2770,
2003-05,8.2768,
2003-06,8.2774,
2003-07,8.2773,
2003-08,8.2771,
2003-09,8.2770,
2003-10,8.2767,
2003-11,8.2770,
2003-12,8.2767,
2004-01,8.2768,
2004-02,8.2769,
2004-03,8.2771,
2004-04,8.2769,
2004-05,8.2769,
2004-06,8.2766,
2004-07,8.2769,
2004-08,8.2767,
2004-09,8.2766,
2004-10,8.2765,
2004-11,8.2765,
2004-12,8.2765,
2005-01,8.2765,
2005-02,8.2765,
2005-03,8.2765,
2005-04,8.2765,
2005-05,8.2765,
2005-06,8.2765,
2005-07,8.1056,
2005-08,8.0973,
2005-09,8.0930,
2005-10,8.0840,
2005-11,8.0796,
2005-12,8.0702,
2006-01,8.0608,
2006-02,8.0415,
2006-03,8.0170,
2006-04,8.0165,
2006-05,8.0188,
2006-06,7.9956,
2006-07,7.9732,
2006-08,7.9585,
2006-09,7.9087,
2006-10,7.8792,
2006-11,7.8436,
2006-12,7.8087,
2007-01,7.7776,
2007-02,7.7409,
2007-03,7.7306,
2007-04,7.7055,
2007-05,7.6506,
2007-06,7.6075,
2007-07,7.5737,
2007-08,7.5607,
2007-09,7.5108,
2007-10,7.4692,
2007-11,7.3997,
2007-12,7.3046,
2008-01,7.1853,
2008-02,7.1058,
2008-03,7.0190,
2008-04,7.0002,
2008-05,6.9472,
2008-06,6.8591,
2008-07,6.8388,
2008-08,6.8345,
2008-09,6.8183,
2008-10,6.8258,
2008-11,6.8349,
2008-12,6.8346,
2009-01,6.8380,
2009-02,6.8379,
2009-03,6.8359,
2009-04,6.8250,
2009-05,6.8324,
2009-06,6.8319,
2009-07,6.8323,
2009-08,6.8312,
2009-09,6.8290,
2009-10,6.8281,
2009-11,6.8272,
2009-12,6.8282,
2010-01,6.8270,
2010-02,6.8269,
2010-03,6.8263,
2010-04,6.8263,
2010-05,6.8280,
2010-06,6.7909,
2010-07,6.7750,
2010-08,6.8105,
2010-09,6.7011,
2010-10,6.6908,
2010-11,6.6762,
2010-12,6.6227,
2011-01,6.5891,
2011-02,6.5752,
2011-03,6.5564,
2011-04,6.4990,
2011-05,6.4845,
2011-06,6.4716,
2011-07,6.4442,
2011-08,6.3867,
2011-09,6.3549,
2011-10,6.3233,
