"",BBSF2.M.1.S.00000.TOT01.I.F.INV.FR.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.FR.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:02,
2009-09,874,
2009-10,861,
2009-11,888,
2009-12,960,
2010-01,964,
2010-02,1062,
2010-03,1004,
2010-04,1245,
2010-05,1125,
2010-06,1112,
2010-07,1145,
2010-08,1211,
2010-09,1235,
2010-10,1324,
2010-11,1324,
2010-12,1381,
2011-01,1426,
2011-02,1423,
2011-03,1392,
2011-04,1728,
2011-05,1701,
2011-06,1617,
2011-07,1472,
2011-08,1294,
2011-09,1023,
2011-10,1117,
2011-11,1064,
2011-12,1069,
2012-01,1160,
2012-02,1230,
2012-03,1240,
2012-04,1256,
2012-05,1264,
2012-06,1431,
2012-07,1502,
2012-08,1558,
2012-09,1608,
2012-10,1572,
2012-11,1619,
2012-12,1589,
2013-01,1714,
2013-02,1705,
2013-03,1923,
2013-04,1786,
2013-05,1749,
2013-06,2014,
2013-07,1700,
2013-08,1627,
2013-09,1724,
2013-10,1747,
2013-11,1761,
2013-12,1793,
2014-01,1810,
2014-02,1879,
2014-03,1965,
2014-04,2010,
2014-05,2147,
2014-06,2289,
2014-07,2269,
2014-08,2203,
2014-09,2199,
2014-10,2033,
2014-11,2224,
