"",BBK01.OELB15U,BBK01.OELB15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:46,
2002-01,0.047,
2002-04,0.044,
2002-07,0.041,
2002-10,0.039,
2003-01,0.034,
2003-04,0.032,
2003-07,0.030,
2003-10,0.030,
2004-01,0.027,
2004-04,0.025,
2004-07,0.024,
2004-10,0.024,
2005-01,0.023,
2005-04,0.024,
2005-07,0.024,
2005-10,0.024,
2006-01,0.022,
2006-04,0.024,
2006-07,0.024,
2006-10,0.023,
2007-01,0.024,
2007-04,0.023,
2007-07,0.023,
2007-10,0.022,
2008-01,0.022,
2008-04,0.022,
2008-07,0.023,
2008-10,0.023,
2009-01,0.023,
2009-04,0.023,
2009-07,0.024,
2009-10,0.024,
2010-01,0.025,
2010-04,0.025,
2010-07,0.024,
2010-10,0.024,
2011-01,0.025,
2011-04,0.025,
2011-07,0.025,
2011-10,0.025,
2012-01,0.025,
2012-04,0.048,
2012-07,0.050,
2012-10,0.050,
2013-01,0.050,
2013-04,0.051,
2013-07,0.055,
2013-10,0.054,
2014-01,0.055,
2014-04,0.053,
2014-07,0.054,
