"",BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N,BBFI1.M.N.DE.W1.S121.S1.LE.A.FA.R.FR1._Z.X1.M.N_FLAGS
"","Reserve Assets (mthly.) - Securities (Equity, investment fund shares/units and debt securities) - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:06,
1998-12,47200,
1999-01,36028,
1999-02,35771,
1999-03,38041,
1999-04,36809,
1999-05,36895,
1999-06,37438,
1999-07,37537,
1999-08,37897,
1999-09,36880,
1999-10,38089,
1999-11,38593,
1999-12,41949,
2000-01,42744,
2000-02,42388,
2000-03,44416,
2000-04,43303,
2000-05,44250,
2000-06,44981,
2000-07,43357,
2000-08,44236,
2000-09,47944,
2000-10,48493,
2000-11,48160,
2000-12,45716,
2001-01,46151,
2001-02,44869,
2001-03,45261,
2001-04,44230,
2001-05,46827,
2001-06,45810,
2001-07,43617,
2001-08,42626,
2001-09,43208,
2001-10,43406,
2001-11,43230,
2001-12,42604,
2002-01,40686,
2002-02,39382,
2002-03,38830,
2002-04,38322,
2002-05,36118,
2002-06,33257,
2002-07,32995,
2002-08,31593,
2002-09,31209,
2002-10,30398,
2002-11,31097,
2002-12,29994,
2003-01,28417,
2003-02,28647,
2003-03,27810,
2003-04,26710,
2003-05,25570,
2003-06,25655,
2003-07,24851,
2003-08,26733,
2003-09,25137,
2003-10,25542,
2003-11,24668,
2003-12,22875,
2004-01,23696,
2004-02,23793,
2004-03,23624,
2004-04,24016,
2004-05,23720,
2004-06,21593,
2004-07,22342,
2004-08,22401,
2004-09,21806,
2004-10,20354,
2004-11,20123,
2004-12,19485,
2005-01,21367,
2005-02,20460,
2005-03,20846,
2005-04,20728,
2005-05,22380,
2005-06,22463,
2005-07,23093,
2005-08,23412,
2005-09,22985,
2005-10,23339,
2005-11,24084,
2005-12,23813,
2006-01,22866,
2006-02,24402,
2006-03,22545,
2006-04,22581,
2006-05,22156,
2006-06,21945,
2006-07,22023,
2006-08,22765,
2006-09,23275,
2006-10,23469,
2006-11,22689,
2006-12,22411,
2007-01,23496,
2007-02,22855,
2007-03,22838,
2007-04,23280,
2007-05,23533,
2007-06,23523,
2007-07,22446,
2007-08,22869,
2007-09,22165,
2007-10,21923,
2007-11,21528,
2007-12,21194,
2008-01,21185,
2008-02,20613,
2008-03,20763,
2008-04,22015,
2008-05,21924,
2008-06,19558,
2008-07,19107,
2008-08,20355,
2008-09,21297,
2008-10,24490,
2008-11,25028,
2008-12,24629,
2009-01,26834,
2009-02,26648,
2009-03,25248,
2009-04,24890,
2009-05,23492,
2009-06,21914,
2009-07,21763,
2009-08,20080,
2009-09,18600,
2009-10,17647,
2009-11,17524,
2009-12,18094,
2010-01,18271,
2010-02,19415,
2010-03,21557,
2010-04,21100,
2010-05,23143,
2010-06,23314,
2010-07,22078,
2010-08,22865,
2010-09,21365,
2010-10,20811,
2010-11,22354,
2010-12,22136,
2011-01,22182,
2011-02,21567,
2011-03,20770,
2011-04,20366,
2011-05,21224,
2011-06,21502,
2011-07,21357,
2011-08,22208,
2011-09,23460,
2011-10,23227,
2011-11,23211,
2011-12,24937,
2012-01,24633,
2012-02,25703,
2012-03,25668,
2012-04,24541,
2012-05,26880,
2012-06,26621,
2012-07,26313,
2012-08,24850,
2012-09,23617,
2012-10,23510,
2012-11,24700,
2012-12,24377,
2013-01,23498,
2013-02,23608,
2013-03,24563,
2013-04,24581,
2013-05,24455,
2013-06,24277,
2013-07,23421,
2013-08,24758,
2013-09,23933,
2013-10,23670,
2013-11,24682,
2013-12,24261,
2014-01,24925,
2014-02,24707,
2014-03,25005,
2014-04,24380,
2014-05,25259,
2014-06,25006,
2014-07,24127,
2014-08,24580,
2014-09,26176,
2014-10,25369,
2014-11,25785,
2014-12,26906,
2015-01,28636,
