"",BBK01.OEGB14I,BBK01.OEGB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:03,
2002-01,0.228,
2002-04,0.231,
2002-07,0.222,
2002-10,0.193,
2003-01,0.180,
2003-04,0.185,
2003-07,0.374,
2003-10,0.334,
2004-01,0.301,
2004-04,0.298,
2004-07,0.287,
2004-10,0.271,
2005-01,0.319,
2005-04,0.309,
2005-07,0.407,
2005-10,0.358,
2006-01,0.344,
2006-04,0.322,
2006-07,0.384,
2006-10,0.248,
2007-01,0.188,
2007-04,0.194,
2007-07,0.202,
2007-10,0.205,
2008-01,0.195,
2008-04,0.202,
2008-07,0.196,
2008-10,0.195,
2009-01,0.187,
2009-04,0.190,
2009-07,0.212,
2009-10,0.216,
2010-01,0.221,
2010-04,0.217,
2010-07,0.227,
2010-10,0.226,
2011-01,0.204,
2011-04,0.194,
2011-07,0.191,
2011-10,0.187,
2012-01,0.181,
2012-04,0.174,
2012-07,0.154,
2012-10,0.151,
2013-01,0.152,
2013-04,0.152,
2013-07,0.126,
2013-10,0.124,
2014-01,0.126,
2014-04,0.142,
2014-07,0.144,
