"",BBK01.OEHB10G,BBK01.OEHB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:06,
2002-01,6.300,
2002-04,6.155,
2002-07,6.128,
2002-10,5.968,
2003-01,5.783,
2003-04,5.647,
2003-07,5.399,
2003-10,5.009,
2004-01,5.114,
2004-04,5.040,
2004-07,5.063,
2004-10,4.850,
2005-01,5.082,
2005-04,4.836,
2005-07,4.845,
2005-10,4.666,
2006-01,5.008,
2006-04,5.001,
2006-07,4.966,
2006-10,4.679,
2007-01,4.892,
2007-04,5.124,
2007-07,5.190,
2007-10,5.326,
2008-01,5.438,
2008-04,5.527,
2008-07,5.420,
2008-10,5.561,
2009-01,6.114,
2009-04,6.238,
2009-07,5.976,
2009-10,5.368,
2010-01,5.518,
2010-04,5.450,
2010-07,5.260,
2010-10,4.933,
2011-01,5.210,
2011-04,5.422,
2011-07,5.397,
2011-10,5.064,
2012-01,5.349,
2012-04,5.500,
2012-07,5.580,
2012-10,5.414,
2013-01,5.698,
2013-04,5.739,
2013-07,5.600,
2013-10,5.211,
2014-01,5.426,
2014-04,5.426,
2014-07,5.460,
