"",BBK01.OECB08K,BBK01.OECB08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:19,
2002-01,5.666,
2002-04,5.671,
2002-07,5.622,
2002-10,5.569,
2003-01,5.309,
2003-04,5.260,
2003-07,5.226,
2003-10,5.147,
2004-01,5.319,
2004-04,5.405,
2004-07,5.240,
2004-10,8.096,
2005-01,8.239,
2005-04,8.281,
2005-07,8.497,
2005-10,8.509,
2006-01,8.516,
2006-04,8.406,
2006-07,8.303,
2006-10,8.188,
2007-01,8.200,
2007-04,8.205,
2007-07,8.388,
2007-10,8.683,
2008-01,8.841,
2008-04,8.975,
2008-07,9.348,
2008-10,9.487,
2009-01,9.358,
2009-04,12.621,
2009-07,12.683,
2009-10,12.870,
2010-01,12.881,
2010-04,13.268,
2010-07,12.666,
2010-10,13.111,
2011-01,12.787,
2011-04,12.712,
2011-07,13.252,
2011-10,13.731,
2012-01,13.768,
2012-04,17.606,
2012-07,17.287,
2012-10,17.895,
2013-01,17.664,
2013-04,16.744,
2013-07,16.760,
2013-10,16.340,
2014-01,16.252,
2014-04,16.126,
2014-07,16.569,
