"",BBK01.CEFO0M,BBK01.CEFO0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:24,
1999-01,33.2,
1999-04,32.9,
1999-07,32.0,
1999-10,32.5,
2000-01,32.7,
2000-04,33.2,
2000-07,34.1,
2000-10,34.3,
2001-01,34.6,
2001-04,33.8,
2001-07,33.8,
2001-10,35.7,
2002-01,35.0,
2002-04,34.6,
2002-07,33.9,
2002-10,34.7,
2003-01,35.2,
2003-04,34.9,
2003-07,34.2,
2003-10,33.6,
2004-01,33.0,
2004-04,32.8,
2004-07,32.2,
2004-10,33.5,
2005-01,32.5,
2005-04,31.8,
2005-07,32.5,
2005-10,32.1,
2006-01,32.1,
2006-04,31.6,
2006-07,32.6,
2006-10,32.8,
2007-01,33.2,
2007-04,34.2,
2007-07,35.8,
2007-10,37.3,
2008-01,38.6,
2008-04,40.5,
2008-07,37.7,
2008-10,37.3,
2009-01,34.7,
2009-04,34.3,
2009-07,33.6,
2009-10,32.1,
2010-01,31.7,
2010-04,32.3,
2010-07,32.8,
2010-10,33.4,
2011-01,32.9,
2011-04,33.1,
2011-07,35.7,
2011-10,33.6,
2012-01,34.2,
2012-04,33.6,
2012-07,33.5,
2012-10,33.1,
2013-01,32.8,
2013-04,32.0,
2013-07,31.3,
2013-10,31.3,
2014-01,30.9,
2014-04,31.5,
2014-07,31.2,
