"",BBK01.OEHI06S,BBK01.OEHI06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:00,
2002-01,1.567,
2002-04,1.620,
2002-07,1.620,
2002-10,1.609,
2003-01,1.605,
2003-04,1.580,
2003-07,1.606,
2003-10,1.623,
2004-01,1.682,
2004-04,1.707,
2004-07,1.682,
2004-10,1.715,
2005-01,1.697,
2005-04,1.691,
2005-07,1.649,
2005-10,1.609,
2006-01,1.547,
2006-04,1.519,
2006-07,1.505,
2006-10,1.491,
2007-01,1.470,
2007-04,1.473,
2007-07,1.474,
2007-10,1.476,
2008-01,1.442,
2008-04,1.406,
2008-07,1.399,
2008-10,1.381,
2009-01,1.355,
2009-04,1.322,
2009-07,1.232,
2009-10,1.192,
2010-01,1.119,
2010-04,1.044,
2010-07,0.997,
2010-10,0.969,
2011-01,0.950,
2011-04,0.962,
2011-07,0.934,
2011-10,0.909,
2012-01,0.886,
2012-04,0.884,
2012-07,0.871,
2012-10,0.789,
2013-01,0.788,
2013-04,0.789,
2013-07,0.766,
2013-10,0.767,
2014-01,0.753,
2014-04,0.718,
2014-07,0.693,
