"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.NO.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.NO.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:59,
2009-09,4304,
2009-10,4203,
2009-11,4388,
2009-12,4501,
2010-01,4576,
2010-02,4582,
2010-03,4954,
2010-04,5316,
2010-05,5272,
2010-06,5569,
2010-07,5651,
2010-08,6308,
2010-09,6354,
2010-10,6310,
2010-11,6200,
2010-12,6396,
2011-01,6668,
2011-02,7042,
2011-03,6922,
2011-04,6834,
2011-05,6802,
2011-06,6827,
2011-07,6981,
2011-08,6965,
2011-09,7118,
2011-10,7551,
2011-11,7635,
2011-12,7865,
2012-01,8445,
2012-02,8457,
2012-03,9132,
2012-04,9172,
2012-05,9252,
2012-06,9812,
2012-07,10195,
2012-08,10444,
2012-09,10124,
2012-10,9943,
2012-11,10575,
2012-12,10576,
2013-01,10693,
2013-02,10640,
2013-03,10735,
2013-04,10931,
2013-05,10916,
2013-06,10632,
2013-07,10626,
2013-08,10538,
2013-09,10746,
2013-10,10767,
2013-11,11017,
2013-12,11153,
2014-01,11152,
2014-02,11207,
2014-03,11275,
2014-04,11294,
2014-05,11248,
2014-06,11137,
2014-07,11184,
2014-08,11319,
2014-09,11271,
2014-10,11305,
2014-11,11100,
