"",BBK01.OEHI09Q,BBK01.OEHI09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:17,
2002-01,1.350,
2002-04,1.373,
2002-07,1.380,
2002-10,1.349,
2003-01,1.273,
2003-04,1.197,
2003-07,1.119,
2003-10,1.086,
2004-01,1.069,
2004-04,1.049,
2004-07,1.063,
2004-10,1.108,
2005-01,1.179,
2005-04,1.177,
2005-07,1.148,
2005-10,1.116,
2006-01,1.110,
2006-04,1.069,
2006-07,1.087,
2006-10,1.139,
2007-01,1.196,
2007-04,1.311,
2007-07,1.392,
2007-10,1.534,
2008-01,1.547,
2008-04,1.638,
2008-07,1.723,
2008-10,1.862,
2009-01,1.712,
2009-04,1.542,
2009-07,1.383,
2009-10,1.233,
2010-01,1.151,
2010-04,1.149,
2010-07,1.202,
2010-10,1.185,
2011-01,1.211,
2011-04,1.273,
2011-07,1.229,
2011-10,1.371,
2012-01,1.397,
2012-04,1.381,
2012-07,1.344,
2012-10,1.160,
2013-01,1.010,
2013-04,0.882,
2013-07,0.774,
2013-10,0.759,
2014-01,0.734,
2014-04,0.751,
2014-07,0.751,
