"",BBK01.OEAC48V,BBK01.OEAC48V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:47,
2002-01,1.069,
2002-04,1.049,
2002-07,1.100,
2002-10,1.090,
2003-01,1.055,
2003-04,1.071,
2003-07,1.070,
2003-10,1.017,
2004-01,1.002,
2004-04,1.020,
2004-07,1.116,
2004-10,1.088,
2005-01,1.067,
2005-04,1.091,
2005-07,1.142,
2005-10,1.162,
2006-01,1.135,
2006-04,1.358,
2006-07,1.374,
2006-10,1.381,
2007-01,1.373,
2007-04,1.345,
2007-07,1.425,
2007-10,1.398,
2008-01,1.432,
2008-04,0.889,
2008-07,0.994,
2008-10,1.355,
2009-01,1.468,
2009-04,1.405,
2009-07,1.415,
2009-10,1.424,
2010-01,2.234,
2010-04,2.796,
2010-07,3.048,
2010-10,3.177,
2011-01,3.301,
2011-04,3.360,
2011-07,3.379,
2011-10,3.314,
2012-01,3.408,
2012-04,3.594,
2012-07,3.635,
2012-10,3.709,
2013-01,3.665,
2013-04,3.768,
2013-07,3.770,
2013-10,3.763,
2014-01,3.904,
2014-04,4.156,
2014-07,4.137,
