"",BBDE1.M.DE.W.AEB1.A2P340000.F.V.I10.A,BBDE1.M.DE.W.AEB1.A2P340000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Non-durable goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:11,
1991-01,149.0,
1991-02,166.4,
1991-03,191.9,
1991-04,139.6,
1991-05,125.3,
1991-06,132.4,
1991-07,128.1,
1991-08,156.4,
1991-09,175.2,
1991-10,154.0,
1991-11,138.6,
1991-12,116.1,
1992-01,151.8,
1992-02,171.3,
1992-03,181.5,
1992-04,135.2,
1992-05,122.8,
1992-06,128.2,
1992-07,127.7,
1992-08,156.0,
1992-09,173.2,
1992-10,147.5,
1992-11,133.1,
1992-12,119.6,
1993-01,145.2,
1993-02,152.9,
1993-03,178.1,
1993-04,130.0,
1993-05,117.8,
1993-06,121.3,
1993-07,129.1,
1993-08,156.4,
1993-09,168.4,
1993-10,138.7,
1993-11,130.5,
1993-12,113.3,
1994-01,135.1,
1994-02,156.5,
1994-03,169.3,
1994-04,130.3,
1994-05,116.5,
1994-06,116.3,
1994-07,126.3,
1994-08,149.8,
1994-09,159.0,
1994-10,138.6,
1994-11,127.3,
1994-12,108.4,
1995-01,133.6,
1995-02,151.7,
1995-03,163.2,
1995-04,127.8,
1995-05,118.5,
1995-06,117.7,
1995-07,123.9,
1995-08,142.4,
1995-09,154.0,
1995-10,132.9,
1995-11,120.6,
1995-12,105.6,
1996-01,130.0,
1996-02,143.6,
1996-03,157.8,
1996-04,122.5,
1996-05,113.4,
1996-06,112.1,
1996-07,115.0,
1996-08,139.3,
1996-09,149.9,
1996-10,127.7,
1996-11,115.9,
1996-12,104.3,
1997-01,123.2,
1997-02,147.5,
1997-03,156.6,
1997-04,117.7,
1997-05,112.2,
1997-06,115.2,
1997-07,116.7,
1997-08,138.2,
1997-09,141.0,
1997-10,125.3,
1997-11,114.3,
1997-12,104.3,
1998-01,121.8,
1998-02,147.3,
1998-03,153.6,
1998-04,119.9,
1998-05,110.1,
1998-06,115.6,
1998-07,122.2,
1998-08,138.5,
1998-09,141.6,
1998-10,121.2,
1998-11,114.1,
1998-12,103.4,
1999-01,120.0,
1999-02,138.7,
1999-03,146.5,
1999-04,113.4,
1999-05,104.4,
1999-06,108.5,
1999-07,115.3,
1999-08,134.3,
1999-09,137.7,
1999-10,120.2,
1999-11,117.3,
1999-12,99.0,
2000-01,109.3,
2000-02,133.3,
2000-03,135.4,
