"",BBK01.OEAH95N,BBK01.OEAH95N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:46,
2002-01,3.388,
2002-04,3.149,
2002-07,3.081,
2002-10,3.073,
2003-01,2.990,
2003-04,2.871,
2003-07,2.691,
2003-10,2.507,
2004-01,2.433,
2004-04,2.352,
2004-07,2.294,
2004-10,1.806,
2005-01,1.781,
2005-04,1.584,
2005-07,1.529,
2005-10,1.510,
2006-01,1.506,
2006-04,1.493,
2006-07,1.472,
2006-10,1.482,
2007-01,1.505,
2007-04,1.509,
2007-07,1.507,
2007-10,1.536,
2008-01,1.553,
2008-04,1.550,
2008-07,1.546,
2008-10,1.711,
2009-01,1.736,
2009-04,1.735,
2009-07,1.767,
2009-10,1.766,
2010-01,1.746,
2010-04,1.763,
2010-07,1.763,
2010-10,1.792,
2011-01,1.794,
2011-04,1.769,
2011-07,1.750,
2011-10,1.797,
2012-01,1.841,
2012-04,1.890,
2012-07,1.915,
2012-10,1.897,
2013-01,1.834,
2013-04,1.805,
2013-07,1.767,
2013-10,1.747,
2014-01,1.723,
2014-04,1.697,
2014-07,1.670,
