"",BBK01.OEAA48H,BBK01.OEAA48H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:01,
2002-01,1.783,
2002-04,1.722,
2002-07,1.644,
2002-10,1.584,
2003-01,1.524,
2003-04,1.462,
2003-07,1.354,
2003-10,1.284,
2004-01,1.220,
2004-04,1.202,
2004-07,1.176,
2004-10,1.150,
2005-01,1.105,
2005-04,1.039,
2005-07,1.006,
2005-10,0.989,
2006-01,0.966,
2006-04,0.943,
2006-07,0.919,
2006-10,0.876,
2007-01,0.850,
2007-04,0.812,
2007-07,0.754,
2007-10,0.727,
2008-01,0.695,
2008-04,0.667,
2008-07,0.615,
2008-10,0.605,
2009-01,0.591,
2009-04,0.582,
2009-07,0.583,
2009-10,0.573,
2010-01,0.539,
2010-04,0.536,
2010-07,0.533,
2010-10,0.528,
2011-01,0.514,
2011-04,0.505,
2011-07,0.517,
2011-10,0.511,
2012-01,0.481,
2012-04,0.470,
2012-07,0.460,
2012-10,0.455,
2013-01,0.432,
2013-04,0.326,
2013-07,0.315,
2013-10,0.292,
2014-01,0.281,
2014-04,0.264,
2014-07,0.263,
