"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U3.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U3.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / EU member states not belonging to the Euro area / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:53,
2009-09,7687,
2009-10,7806,
2009-11,7892,
2009-12,7837,
2010-01,8176,
2010-02,8197,
2010-03,8506,
2010-04,8543,
2010-05,8554,
2010-06,8691,
2010-07,8728,
2010-08,9138,
2010-09,9638,
2010-10,9611,
2010-11,9474,
2010-12,9538,
2011-01,9311,
2011-02,8665,
2011-03,8834,
2011-04,9044,
2011-05,9015,
2011-06,9096,
2011-07,9098,
2011-08,9290,
2011-09,9492,
2011-10,9638,
2011-11,9615,
2011-12,9813,
2012-01,10178,
2012-02,10582,
2012-03,10799,
2012-04,11192,
2012-05,11432,
2012-06,11944,
2012-07,12386,
2012-08,12302,
2012-09,12418,
2012-10,12604,
2012-11,12862,
2012-12,13012,
2013-01,12508,
2013-02,12672,
2013-03,13053,
2013-04,13375,
2013-05,13293,
2013-06,12988,
2013-07,13639,
2013-08,13544,
2013-09,13576,
2013-10,13477,
2013-11,13469,
2013-12,13551,
2014-01,13369,
2014-02,13525,
2014-03,13744,
2014-04,13724,
2014-05,13872,
2014-06,14059,
2014-07,14172,
2014-08,14325,
2014-09,14579,
2014-10,15183,
2014-11,15588,
