"",BBK01.XU8868,BBK01.XU8868_FLAGS
"",Germany / Exports / Product Classification for Production Statistics from 2002 / Intermediate goods / 1 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:39,
1995-01,10327878,
1995-02,10938133,
1995-03,11527813,
1995-04,10427862,
1995-05,11502619,
1995-06,12277342,
1995-07,10825261,
1995-08,10344042,
1995-09,11354414,
1995-10,11677385,
1995-11,11414891,
1995-12,10630086,
1996-01,11140232,
1996-02,10895753,
1996-03,11111340,
1996-04,11334023,
1996-05,11686971,
1996-06,11215745,
1996-07,11796763,
1996-08,9963629,
1996-09,10741125,
1996-10,12602633,
1996-11,11698555,
1996-12,10538215,
1997-01,11286259,
1997-02,11631625,
1997-03,12120650,
1997-04,12578998,
1997-05,12723364,
1997-06,13761799,
1997-07,13481839,
1997-08,11837764,
1997-09,13414870,
1997-10,13893664,
1997-11,13583172,
1997-12,12567257,
1998-01,12981973,
1998-02,13222172,
1998-03,13903797,
1998-04,14388606,
1998-05,13067032,
1998-06,14202618,
1998-07,14072184,
1998-08,11708201,
1998-09,12850068,
1998-10,13698204,
1998-11,12987966,
1998-12,11283479,
1999-01,11294969,
1999-02,12663495,
1999-03,13233617,
1999-04,13109230,
1999-05,12608507,
1999-06,14144741,
1999-07,14150196,
1999-08,12325555,
1999-09,13511195,
1999-10,14178540,
1999-11,15023186,
1999-12,13426048,
2000-01,13816590,
2000-02,15164337,
2000-03,17459941,
2000-04,14809215,
2000-05,16930899,
2000-06,16777890,
2000-07,16488617,
2000-08,15842674,
2000-09,16178075,
2000-10,18747846,
2000-11,17998096,
2000-12,15903140,
2001-01,16610491,
2001-02,17081825,
2001-03,17525362,
2001-04,16595746,
2001-05,17076376,
2001-06,17025238,
2001-07,17174455,
2001-08,15964919,
2001-09,14791701,
2001-10,17636491,
2001-11,16245948,
2001-12,13860651,
2002-01,15035361,
2002-02,15875852,
2002-03,16741966,
2002-04,17334483,
2002-05,15971027,
2002-06,17937017,
2002-07,17084246,
2002-08,16230894,
2002-09,16627059,
2002-10,17797107,
2002-11,17959521,
2002-12,14943276,
2003-01,16477877,
2003-02,16434130,
2003-03,17169950,
2003-04,16646283,
2003-05,17038054,
2003-06,17062230,
2003-07,17505809,
2003-08,15544773,
2003-09,17360207,
2003-10,17275463,
2003-11,17205135,
2003-12,15488977,
2004-01,17529935,
2004-02,17583895,
2004-03,19606173,
2004-04,18650396,
2004-05,19043436,
2004-06,19563481,
2004-07,19329095,
2004-08,17762084,
2004-09,18840781,
2004-10,19766906,
2004-11,20162810,
2004-12,17087868,
2005-01,19077792,
2005-02,18872815,
2005-03,19678648,
2005-04,19812785,
2005-05,20146906,
2005-06,21019066,
2005-07,19908492,
2005-08,19478470,
2005-09,20927805,
2005-10,20787654,
2005-11,21348839,
2005-12,19297169,
2006-01,20853054,
2006-02,21443928,
2006-03,22884251,
2006-04,22444242,
2006-05,22490632,
2006-06,23132613,
2006-07,22850494,
2006-08,22618266,
2006-09,24554343,
2006-10,26772602,
2006-11,26074959,
2006-12,21788573,
2007-01,24767581,
2007-02,24401763,
2007-03,26119982,
2007-04,25388559,
2007-05,25193448,
2007-06,26294596,
2007-07,25523893,
2007-08,24907900,
2007-09,25099632,
2007-10,27151568,
2007-11,26490326,
2007-12,21289797,
"",General: 1 Source: Federal Statistical Office.,
