"",BBDE1.M.DE.Y.GUB5.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.GUB5.A2P310000.F.V.I10.A_FLAGS
"",Turnover industry from abroad / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:53,
1991-01,46.0,
1991-02,46.3,
1991-03,44.7,
1991-04,44.7,
1991-05,44.6,
1991-06,44.3,
1991-07,44.6,
1991-08,44.8,
1991-09,45.3,
1991-10,46.0,
1991-11,46.5,
1991-12,45.6,
1992-01,45.1,
1992-02,44.6,
1992-03,44.8,
1992-04,44.7,
1992-05,44.3,
1992-06,44.0,
1992-07,43.5,
1992-08,42.7,
1992-09,43.1,
1992-10,41.6,
1992-11,42.1,
1992-12,41.2,
1993-01,40.6,
1993-02,41.0,
1993-03,41.5,
1993-04,40.7,
1993-05,40.6,
1993-06,40.4,
1993-07,41.2,
1993-08,41.4,
1993-09,41.2,
1993-10,41.1,
1993-11,41.8,
1993-12,43.6,
1994-01,44.0,
1994-02,45.1,
1994-03,46.1,
1994-04,45.7,
1994-05,46.6,
1994-06,46.6,
1994-07,46.9,
1994-08,48.4,
1994-09,49.8,
1994-10,50.3,
1994-11,51.5,
1994-12,52.9,
1995-01,51.9,
1995-02,52.2,
1995-03,51.5,
1995-04,51.0,
1995-05,51.9,
1995-06,52.5,
1995-07,51.4,
1995-08,52.0,
1995-09,52.8,
1995-10,50.5,
1995-11,50.0,
1995-12,50.8,
1996-01,50.9,
1996-02,51.1,
1996-03,51.0,
1996-04,51.9,
1996-05,52.0,
1996-06,51.3,
1996-07,51.4,
1996-08,51.9,
1996-09,53.5,
1996-10,53.1,
1996-11,53.0,
1996-12,53.9,
1997-01,54.9,
1997-02,55.9,
1997-03,56.2,
1997-04,57.1,
1997-05,57.4,
1997-06,58.8,
1997-07,59.4,
1997-08,60.5,
1997-09,60.2,
1997-10,61.5,
1997-11,60.2,
1997-12,62.8,
1998-01,61.6,
1998-02,61.6,
1998-03,61.6,
1998-04,61.6,
1998-05,61.0,
1998-06,60.4,
1998-07,59.8,
1998-08,59.4,
1998-09,58.9,
1998-10,57.1,
1998-11,56.5,
1998-12,57.3,
1999-01,57.8,
1999-02,56.2,
1999-03,59.3,
1999-04,57.4,
1999-05,58.5,
1999-06,59.4,
1999-07,61.3,
1999-08,60.6,
1999-09,65.2,
1999-10,64.1,
1999-11,65.1,
1999-12,70.9,
2000-01,65.6,
2000-02,69.1,
2000-03,70.0,
2000-04,69.5,
2000-05,71.9,
2000-06,75.0,
2000-07,75.3,
2000-08,77.7,
2000-09,77.7,
2000-10,78.7,
2000-11,78.7,
2000-12,77.0,
2001-01,75.8,
2001-02,76.3,
2001-03,75.2,
2001-04,74.0,
2001-05,73.6,
2001-06,74.5,
2001-07,73.0,
2001-08,73.2,
2001-09,72.0,
2001-10,71.0,
2001-11,70.5,
2001-12,70.6,
2002-01,71.2,
2002-02,73.0,
2002-03,74.2,
2002-04,74.1,
2002-05,75.4,
2002-06,73.8,
2002-07,74.2,
2002-08,74.8,
2002-09,74.9,
2002-10,73.7,
2002-11,76.5,
2002-12,74.5,
2003-01,76.3,
2003-02,76.1,
2003-03,76.0,
2003-04,75.5,
2003-05,73.3,
2003-06,73.7,
2003-07,74.7,
2003-08,74.6,
2003-09,75.7,
2003-10,77.2,
2003-11,77.6,
2003-12,79.8,
2004-01,78.6,
2004-02,79.4,
2004-03,79.1,
2004-04,81.5,
2004-05,81.6,
2004-06,83.3,
2004-07,83.6,
2004-08,83.3,
2004-09,84.4,
2004-10,84.6,
2004-11,84.4,
2004-12,86.4,
2005-01,85.7,
2005-02,85.2,
2005-03,86.0,
2005-04,86.3,
2005-05,86.6,
2005-06,86.2,
2005-07,87.2,
2005-08,86.6,
2005-09,89.4,
2005-10,90.5,
2005-11,91.8,
2005-12,91.9,
2006-01,93.4,
2006-02,94.0,
2006-03,95.8,
2006-04,96.8,
2006-05,98.4,
2006-06,100.0,
2006-07,99.4,
2006-08,101.5,
2006-09,102.8,
2006-10,104.0,
2006-11,105.3,
2006-12,105.2,
2007-01,106.1,
2007-02,107.6,
2007-03,107.0,
2007-04,108.3,
2007-05,109.0,
2007-06,110.3,
2007-07,108.8,
2007-08,110.1,
2007-09,110.1,
2007-10,111.1,
2007-11,111.3,
2007-12,111.3,
2008-01,111.2,
2008-02,110.9,
2008-03,111.0,
2008-04,111.7,
2008-05,113.0,
2008-06,110.0,
2008-07,110.2,
2008-08,111.6,
2008-09,108.9,
2008-10,109.4,
2008-11,100.9,
2008-12,93.4,
2009-01,80.7,
2009-02,79.1,
2009-03,77.4,
2009-04,78.9,
2009-05,79.9,
2009-06,81.8,
2009-07,82.8,
2009-08,84.0,
2009-09,85.9,
2009-10,87.9,
2009-11,88.4,
2009-12,89.7,
2010-01,90.4,
2010-02,91.1,
2010-03,93.5,
2010-04,96.2,
2010-05,99.1,
2010-06,99.7,
2010-07,102.2,
2010-08,103.2,
2010-09,103.1,
2010-10,104.2,
2010-11,106.6,
2010-12,107.0,
2011-01,110.0,
2011-02,111.1,
2011-03,112.8,
2011-04,111.8,
2011-05,111.3,
2011-06,111.4,
2011-07,112.1,
2011-08,111.8,
2011-09,111.3,
2011-10,107.3,
2011-11,108.0,
2011-12,106.7,
2012-01,107.9,
2012-02,109.2,
2012-03,109.0,
2012-04,109.6,
2012-05,111.8,
2012-06,111.2,
2012-07,110.9,
2012-08,110.5,
2012-09,107.3,
2012-10,108.0,
2012-11,107.6,
2012-12,106.7,
2013-01,108.1,
2013-02,106.3,
2013-03,108.5,
2013-04,107.5,
2013-05,109.8,
2013-06,106.7,
2013-07,106.7,
2013-08,106.0,
2013-09,107.2,
2013-10,109.5,
2013-11,108.1,
2013-12,108.7,
2014-01,108.8,
2014-02,109.3,
2014-03,108.5,
2014-04,110.1,
2014-05,107.7,
2014-06,109.1,
2014-07,110.3,
2014-08,109.4,
2014-09,110.9,
2014-10,112.5,
2014-11,110.3,
2014-12,114.9,Provisional value
