"",BBK01.CEL405,BBK01.CEL405_FLAGS
"",Loans                                                           debtor: Total           creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:17,
1999-01,-8.3,
1999-04,24.8,
1999-07,-16.8,
1999-10,5.4,
2000-01,22.0,
2000-04,20.7,
2000-07,-19.7,
2000-10,-1.7,
2001-01,39.2,
2001-04,-3.5,
2001-07,-14.4,
2001-10,-8.3,
2002-01,-5.5,
2002-04,-14.1,
2002-07,5.3,
2002-10,-1.7,
2003-01,15.1,
2003-04,3.3,
2003-07,-1.8,
2003-10,-5.7,
2004-01,10.5,
2004-04,4.0,
2004-07,-2.3,
2004-10,-8.1,
2005-01,10.3,
2005-04,3.4,
2005-07,13.3,
2005-10,-4.1,
2006-01,16.6,
2006-04,2.4,
2006-07,1.0,
2006-10,-7.8,
2007-01,10.5,
2007-04,18.8,
2007-07,-6.2,
2007-10,-13.5,
2008-01,5.9,
2008-04,6.9,
2008-07,-2.4,
2008-10,6.4,
2009-01,-6.5,
2009-04,6.8,
2009-07,-6.2,
2009-10,12.3,
2010-01,3.5,
2010-04,6.8,
2010-07,-1.7,
2010-10,1.8,
2011-01,9.1,
2011-04,-0.3,
2011-07,17.8,
2011-10,-12.8,
2012-01,18.7,
2012-04,-2.5,
2012-07,2.7,
2012-10,15.7,
2013-01,3.2,
2013-04,23.4,
2013-07,-5.3,
2013-10,-5.1,
2014-01,12.4,
2014-04,6.0,
2014-07,-1.3,
