"",BBK01.OELJ09H,BBK01.OELJ09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:10,
2002-01,0.039,
2002-04,0.043,
2002-07,0.042,
2002-10,0.042,
2003-01,0.035,
2003-04,0.031,
2003-07,0.026,
2003-10,0.029,
2004-01,0.031,
2004-04,0.034,
2004-07,0.036,
2004-10,0.043,
2005-01,0.045,
2005-04,0.050,
2005-07,0.051,
2005-10,0.046,
2006-01,0.045,
2006-04,0.043,
2006-07,0.045,
2006-10,0.044,
2007-01,0.043,
2007-04,0.043,
2007-07,0.037,
2007-10,0.035,
2008-01,0.035,
2008-04,0.032,
2008-07,0.027,
2008-10,0.029,
2009-01,0.049,
2009-04,0.066,
2009-07,0.085,
2009-10,0.091,
2010-01,0.097,
2010-04,0.096,
2010-07,0.084,
2010-10,0.077,
2011-01,0.071,
2011-04,0.081,
2011-07,0.081,
2011-10,0.073,
2012-01,0.077,
2012-04,0.078,
2012-07,0.092,
2012-10,0.095,
2013-01,0.105,
2013-04,0.109,
2013-07,0.108,
2013-10,0.115,
2014-01,0.135,
2014-04,0.144,
2014-07,0.147,
