"",BBK01.OEAA23I,BBK01.OEAA23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:14,
2002-01,40.766,
2002-04,40.872,
2002-07,39.459,
2002-10,38.922,
2003-01,37.729,
2003-04,37.512,
2003-07,37.088,
2003-10,35.676,
2004-01,35.410,
2004-04,35.200,
2004-07,33.712,
2004-10,33.778,
2005-01,34.409,
2005-04,34.646,
2005-07,34.228,
2005-10,33.697,
2006-01,34.345,
2006-04,34.163,
2006-07,35.505,
2006-10,35.387,
2007-01,35.137,
2007-04,35.087,
2007-07,35.092,
2007-10,36.094,
2008-01,36.137,
2008-04,37.342,
2008-07,37.571,
2008-10,36.938,
2009-01,37.112,
2009-04,37.107,
2009-07,41.216,
2009-10,41.253,
2010-01,41.331,
2010-04,41.710,
2010-07,44.374,
2010-10,44.757,
2011-01,44.734,
2011-04,45.397,
2011-07,46.137,
2011-10,47.313,
2012-01,47.932,
2012-04,48.099,
2012-07,48.490,
2012-10,48.551,
2013-01,48.562,
2013-04,49.146,
2013-07,50.019,
2013-10,51.244,
2014-01,50.602,
2014-04,50.587,
2014-07,50.119,
