"",BBK01.OEAC30L,BBK01.OEAC30L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:45,
2002-01,0.918,
2002-04,0.880,
2002-07,0.846,
2002-10,0.769,
2003-01,0.806,
2003-04,0.779,
2003-07,0.744,
2003-10,0.695,
2004-01,0.726,
2004-04,0.705,
2004-07,0.650,
2004-10,0.798,
2005-01,0.695,
2005-04,0.671,
2005-07,0.664,
2005-10,0.700,
2006-01,0.830,
2006-04,0.822,
2006-07,0.747,
2006-10,0.663,
2007-01,0.673,
2007-04,0.689,
2007-07,0.717,
2007-10,0.670,
2008-01,0.714,
2008-04,0.761,
2008-07,0.793,
2008-10,0.821,
2009-01,0.825,
2009-04,0.739,
2009-07,0.605,
2009-10,0.574,
2010-01,0.580,
2010-04,0.559,
2010-07,0.560,
2010-10,0.521,
2011-01,0.627,
2011-04,0.645,
2011-07,0.625,
2011-10,0.580,
2012-01,0.590,
2012-04,0.591,
2012-07,0.577,
2012-10,0.557,
2013-01,0.523,
2013-04,0.487,
2013-07,0.515,
2013-10,0.543,
2014-01,0.515,
2014-04,0.595,
2014-07,0.549,
