"",BBK01.OEBL02O,BBK01.OEBL02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:09,
2002-01,-11.475,
2002-04,-11.678,
2002-07,-11.357,
2002-10,-11.959,
2003-01,-11.975,
2003-04,-12.110,
2003-07,-12.282,
2003-10,-12.860,
2004-01,-12.973,
2004-04,-13.281,
2004-07,-13.294,
2004-10,-13.520,
2005-01,1.798,
2005-04,1.873,
2005-07,1.895,
2005-10,1.930,
2006-01,1.951,
2006-04,1.951,
2006-07,1.804,
2006-10,1.863,
2007-01,1.807,
2007-04,1.953,
2007-07,2.082,
2007-10,2.139,
2008-01,2.099,
2008-04,2.098,
2008-07,2.182,
2008-10,2.404,
2009-01,2.562,
2009-04,2.649,
2009-07,2.629,
2009-10,2.660,
2010-01,2.756,
2010-04,2.853,
2010-07,5.124,
2010-10,4.373,
2011-01,4.404,
2011-04,4.355,
2011-07,4.164,
2011-10,3.922,
2012-01,3.801,
2012-04,3.599,
2012-07,3.518,
2012-10,3.518,
2013-01,3.523,
2013-04,3.594,
2013-07,3.542,
2013-10,3.689,
2014-01,3.684,
2014-04,3.775,
2014-07,3.877,
