"",BBFN1.M.DE.N.1.L.GB.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / United Kingdom,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:11,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,3.538,
1995-01,3.504,
1995-02,3.397,
1995-03,3.646,
1995-04,3.695,
1995-05,3.657,
1995-06,3.769,
1995-07,3.612,
1995-08,3.649,
1995-09,4.024,
1995-10,4.045,
1995-11,4.036,
1995-12,3.708,
1996-01,3.687,
1996-02,3.606,
1996-03,3.821,
1996-04,3.480,
1996-05,3.586,
1996-06,3.650,
1996-07,3.540,
1996-08,3.508,
1996-09,3.752,
1996-10,3.845,
1996-11,3.887,
1996-12,4.192,
1997-01,3.753,
1997-02,3.844,
1997-03,3.986,
1997-04,4.156,
1997-05,4.142,
1997-06,4.073,
1997-07,4.000,
1997-08,3.808,
1997-09,4.193,
1997-10,4.145,
1997-11,5.085,
1997-12,4.207,
1998-01,4.030,
1998-02,4.364,
1998-03,4.689,
1998-04,4.471,
1998-05,4.462,
1998-06,4.633,
1998-07,4.376,
1998-08,4.061,
1998-09,5.357,
1998-10,4.557,
1998-11,4.352,
1998-12,4.486,
1999-01,4.170,
1999-02,4.068,
1999-03,4.485,
1999-04,4.171,
1999-05,4.059,
1999-06,4.476,
1999-07,4.384,
1999-08,4.379,
1999-09,4.739,
1999-10,4.893,
1999-11,4.895,
1999-12,5.522,
2000-01,5.236,
2000-02,5.622,
2000-03,5.689,
2000-04,5.634,
2000-05,5.649,
2000-06,6.009,
2000-07,5.848,
2000-08,6.157,
2000-09,6.370,
2000-10,6.456,
2000-11,6.467,
2000-12,6.887,
2001-01,6.493,
2001-02,6.618,
2001-03,6.584,
2001-04,6.337,
2001-05,6.561,
2001-06,6.918,
2001-07,6.770,
2001-08,6.617,
2001-09,7.030,
2001-10,7.497,
2001-11,6.850,
2001-12,8.142,
2002-01,6.622,
2002-02,6.515,
2002-03,6.814,
2002-04,6.586,
2002-05,6.439,
2002-06,6.799,
2002-07,6.549,
2002-08,6.545,
2002-09,6.872,
2002-10,7.274,
2002-11,7.283,
2002-12,7.952,
2003-01,7.060,
2003-02,7.480,
2003-03,7.828,
2003-04,7.302,
2003-05,6.502,
2003-06,7.076,
2003-07,6.567,
2003-08,6.101,
2003-09,6.611,
2003-10,6.551,
2003-11,6.279,
2003-12,6.447,
2004-01,6.234,
2004-02,6.115,
2004-03,6.553,
2004-04,5.672,
2004-05,6.178,
2004-06,6.490,
2004-07,6.324,
2004-08,6.392,
2004-09,6.679,
2004-10,6.759,
2004-11,6.962,
2004-12,6.623,
2005-01,6.012,
2005-02,6.162,
2005-03,6.541,
2005-04,6.507,
2005-05,7.088,
2005-06,7.483,
2005-07,8.056,
2005-08,8.823,
2005-09,9.049,
2005-10,8.584,
2005-11,9.131,
2005-12,9.564,
2006-01,9.492,
2006-02,9.500,
2006-03,9.645,
2006-04,9.500,
2006-05,9.265,
2006-06,9.692,
2006-07,9.465,
2006-08,8.724,
2006-09,8.626,
2006-10,9.295,
2006-11,9.138,
2006-12,9.565,
2007-01,8.866,
2007-02,8.743,
2007-03,9.486,
2007-04,9.122,
2007-05,8.498,
2007-06,8.570,
2007-07,8.550,
2007-08,8.038,
2007-09,9.395,
2007-10,8.842,
2007-11,8.614,
2007-12,8.738,
2008-01,8.118,
2008-02,8.470,
2008-03,8.320,
2008-04,8.900,
2008-05,10.016,
2008-06,8.980,
2008-07,8.704,
2008-08,8.459,
2008-09,7.930,
2008-10,7.814,
2008-11,7.330,
2008-12,7.057,
2009-01,6.589,
2009-02,7.434,
2009-03,9.515,
2009-04,5.516,
2009-05,6.445,
2009-06,11.440,
2009-07,11.542,
2009-08,9.397,
2009-09,10.111,
2009-10,10.574,
2009-11,11.717,
2009-12,13.488,
2010-01,7.628,
2010-02,7.093,
2010-03,7.324,
2010-04,7.204,
2010-05,7.246,
2010-06,8.062,
2010-07,7.491,
2010-08,6.833,
2010-09,8.000,
2010-10,7.810,
2010-11,7.968,
2010-12,9.156,
2011-01,8.608,
2011-02,8.601,
2011-03,8.395,
2011-04,7.972,
2011-05,7.207,
2011-06,7.309,
2011-07,6.931,
2011-08,6.121,
2011-09,7.105,
2011-10,7.277,
2011-11,7.914,
2011-12,8.279,
2012-01,6.947,
2012-02,7.353,
2012-03,7.373,
2012-04,7.300,
2012-05,7.396,
2012-06,7.273,
2012-07,7.081,
2012-08,6.387,
2012-09,6.728,
2012-10,6.889,
2012-11,7.518,
2012-12,7.910,
2013-01,7.039,
2013-02,7.139,
2013-03,7.391,
2013-04,6.671,
2013-05,7.000,
2013-06,6.840,
2013-07,6.687,
2013-08,6.595,
2013-09,7.628,
2013-10,7.556,
2013-11,7.248,
2013-12,6.797,
2014-01,6.529,
2014-02,6.817,
2014-03,6.924,
2014-04,6.363,
2014-05,6.828,
2014-06,6.777,
2014-07,6.983,
2014-08,6.685,
2014-09,7.468,
2014-10,7.241,
2014-11,7.800,
2014-12,8.363,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
