"",BBDL1.M.DE1.Y.UNE.UBA000.A0000.A01.D00.0.ABA.A,BBDL1.M.DE1.Y.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / West Germany / Social Security Code III and Social Security Code II / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:13,
1950-01,1762,
1950-02,1806,
1950-03,1965,
1950-04,2016,
1950-05,2004,
1950-06,1964,
1950-07,1957,
1950-08,1904,
1950-09,1872,
1950-10,1822,
1950-11,1744,
1950-12,1694,
1951-01,1656,
1951-02,1448,
1951-03,1656,
1951-04,1687,
1951-05,1742,
1951-06,1772,
1951-07,1807,
1951-08,1819,
1951-09,1816,
1951-10,1794,
1951-11,1724,
1951-12,1660,
1952-01,1607,
1952-02,1629,
1952-03,1650,
1952-04,1700,
1952-05,1688,
1952-06,1704,
1952-07,1666,
1952-08,1658,
1952-09,1632,
1952-10,1598,
1952-11,1658,
1952-12,1696,
1953-01,1524,
1953-02,1460,
1953-03,1423,
1953-04,1480,
1953-05,1513,
1953-06,1496,
1953-07,1489,
1953-08,1486,
1953-09,1482,
1953-10,1494,
1953-11,1496,
1953-12,1490,
1954-01,1598,
1954-02,1626,
1954-03,1421,
1954-04,1503,
1954-05,1437,
1954-06,1399,
1954-07,1377,
1954-08,1352,
1954-09,1317,
1954-10,1293,
1954-11,1282,
1954-12,1206,
1955-01,1311,
1955-02,1325,
1955-03,1371,
1955-04,1101,
1955-05,1037,
1955-06,1007,
1955-07,970,
1955-08,941,
1955-09,936,
1955-10,925,
1955-11,888,
1955-12,917,
1956-01,711,
1956-02,1311,
1956-03,975,
1956-04,822,
1956-05,827,
1956-06,810,
1956-07,806,
1956-08,801,
1956-09,801,
1956-10,783,
1956-11,893,
1956-12,926,
1957-01,948,
1957-02,593,
1957-03,652,
1957-04,765,
1957-05,763,
1957-06,764,
1957-07,729,
1957-08,708,
1957-09,701,
1957-10,664,
1957-11,682,
1957-12,1040,
1958-01,941,
1958-02,868,
1958-03,1094,
1958-04,748,
1958-05,718,
1958-06,682,
1958-07,658,
1958-08,629,
1958-09,608,
1958-10,605,
1958-11,595,
1958-12,760,
1959-01,940,
1959-02,752,
1959-03,589,
1959-04,528,
1959-05,527,
1959-06,491,
1959-07,458,
1959-08,429,
1959-09,399,
1959-10,377,
1959-11,346,
1959-12,287,
1960-01,272,
1960-02,221,
1960-03,245,
1960-04,276,
1960-05,303,
1960-06,310,
1960-07,303,
1960-08,285,
1960-09,266,
1960-10,247,
1960-11,210,
1960-12,125,
1961-01,97,
1961-02,42,
1961-03,143,
1961-04,198,
1961-05,227,
1961-06,235,
1961-07,235,
1961-08,230,
1961-09,212,
1961-10,190,
1961-11,165,
1961-12,107,
1962-01,119,
1962-02,120,
1962-03,162,
1962-04,164,
1962-05,159,
1962-06,158,
1962-07,159,
1962-08,158,
1962-09,159,
1962-10,161,
1962-11,172,
1962-12,172,
1963-01,215,
1963-02,230,
1963-03,171,
1963-04,173,
1963-05,175,
1963-06,176,
1963-07,175,
1963-08,175,
1963-09,175,
1963-10,175,
1963-11,170,
1963-12,189,
1964-01,168,
1964-02,153,
1964-03,179,
1964-04,171,
1964-05,173,
1964-06,172,
1964-07,172,
1964-08,172,
1964-09,171,
1964-10,172,
1964-11,162,
1964-12,150,
1965-01,133,
1965-02,143,
1965-03,153,
1965-04,141,
1965-05,142,
