"",BBFB1.Q.N.DE.S19800.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:25,
1991-01,45.554,
1991-04,48.976,
1991-07,93.185,
1991-10,9.060,
1992-01,82.937,
1992-04,53.772,
1992-07,61.833,
1992-10,21.488,
1993-01,149.471,
1993-04,111.635,
1993-07,132.525,
1993-10,48.210,
1994-01,5.729,
1994-04,-1.370,
1994-07,-1.463,
1994-10,-10.584,
1995-01,46.813,
1995-04,42.028,
1995-07,35.893,
1995-10,34.767,
1996-01,60.770,
1996-04,-6.275,
1996-07,4.993,
1996-10,34.048,
1997-01,-313.887,
1997-04,-270.972,
1997-07,-358.338,
1997-10,-398.734,
1998-01,-374.918,
1998-04,-415.249,
1998-07,-130.374,
1998-10,-270.700,
1999-01,-445.225,
1999-04,-243.216,
1999-07,-109.507,
1999-10,-29.951,
2000-01,120.894,
2000-04,-97.237,
2000-07,-39.156,
2000-10,16.563,
2001-01,-66.157,
2001-04,-121.961,
2001-07,-62.100,
2001-10,15.933,
2002-01,-32.673,
2002-04,43.234,
2002-07,135.329,
2002-10,206.315,
2003-01,150.056,
2003-04,188.644,
2003-07,262.118,
2003-10,299.966,
2004-01,575.048,
2004-04,631.009,
2004-07,664.479,
2004-10,670.971,
2005-01,550.243,
2005-04,569.068,
2005-07,617.871,
2005-10,614.182,
2006-01,646.005,
2006-04,677.708,
2006-07,809.204,
2006-10,743.049,
2007-01,950.285,
2007-04,889.978,
2007-07,813.990,
2007-10,626.806,
2008-01,491.124,
2008-04,304.283,
2008-07,359.116,
2008-10,401.734,
2009-01,498.446,
2009-04,531.577,
2009-07,589.267,
2009-10,554.992,
2010-01,813.295,
2010-04,847.511,
2010-07,998.202,
2010-10,977.147,
2011-01,917.356,
2011-04,865.104,
2011-07,1018.009,
2011-10,957.899,
2012-01,909.698,
2012-04,826.551,
2012-07,980.864,
2012-10,941.149,
2013-01,856.575,
2013-04,860.118,
2013-07,1041.556,
2013-10,946.461,
2014-01,897.399,Provisional value
2014-04,892.432,Provisional value
2014-07,1021.455,Provisional value
