"",BBK01.OEHL05L,BBK01.OEHL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:56,
2002-01,0.212,
2002-04,0.218,
2002-07,0.237,
2002-10,0.249,
2003-01,0.249,
2003-04,0.240,
2003-07,0.235,
2003-10,0.236,
2004-01,0.227,
2004-04,0.218,
2004-07,0.213,
2004-10,0.209,
2005-01,0.191,
2005-04,0.187,
2005-07,0.172,
2005-10,0.152,
2006-01,0.145,
2006-04,0.139,
2006-07,0.133,
2006-10,0.121,
2007-01,0.100,
2007-04,0.088,
2007-07,0.080,
2007-10,0.074,
2008-01,0.068,
2008-04,0.039,
2008-07,0.038,
2008-10,0.033,
2009-01,0.027,
2009-04,0.022,
2009-07,0.019,
2009-10,0.038,
2010-01,0.037,
2010-04,0.038,
2010-07,0.038,
2010-10,0.035,
2011-01,0.031,
2011-04,0.031,
2011-07,0.031,
2011-10,0.022,
2012-01,0.021,
2012-04,0.021,
2012-07,0.020,
2012-10,0.016,
2013-01,0.015,
2013-04,0.014,
2013-07,0.015,
2013-10,0.014,
2014-01,0.015,
2014-04,0.014,
2014-07,0.011,
